TROUBLE,NN1-VVB
BREWING,NN1
PUB,NN1
REFURBISHMENTS,NN2
OVER,PRP
THE,AT0
LIMIT,NN1
A,AT0
Report,NN1
By,PRP
THE,AT0
CAMPAIGN,NN1
FOR,PRP
REAL,AJ0
ALE,NN1
THE,AT0
GEORGIAN,AJ0
GROUP,NN1
THE,AT0
SOCIETY,NN1
FOR,PRP
THE,AT0
PROTECTION,NN1
OF,PRF
ANCIENT,AJ0
BUILDINGS,NN2
THE,AT0
SOCIETY,NN1
THE,AT0
VICTORIAN,AJ0
SOCIETY,NN1
TROUBLE,NN1-VVB
BREWING,NN1
PUB,NN1
REFURBISHMENTS,NN2
OVER,PRP
THE,AT0
LIMIT,NN1
Written,VVN
by,PRP
David,NP0
Gamston,NP0
CAMRA,NP0
Richard,NP0
Holder,NP0
The,AT0
Victorian,AJ0
Society,NN1
Nigel,NP0
Langford,NP0
Langford,NP0
Williams,NP0
Partnership,NN1
Steven,NP0
Parissien,NP0
The,AT0
Georgian,AJ0
Group,NN1
Alan,NP0
Powers,NP0
The,AT0
Society,NN1
Matthew,NP0
Slocombe,NP0
SPAB,NP0
American,AJ0-NN1
SO,AV0
THIS,DT0
IS,VBZ
A,AT0
REAL,AJ0
OLD,AJ0
ENGLISH,AJ0-NN1
INN,NN1
Barmaid,NN1
NO,ITJ
BUT,CJC
IT,PNP
WILL,VM0
BE,VBI
IN,PRP
A,AT0
FORTNIGHT,NN1
INTRODUCTION,NN1
Steven,NP0
Parissien,NP0-NN1
The,AT0
public,AJ0-NN1
house,NN1
represents,VVZ
what,DTQ
should,VM0
be,VBI
the,AT0
hub,NN1
of,PRF
our,DPS
wheel,NN1
of,PRF
life,NN1
essential,AJ0
to,PRP
our,DPS
material,NN1
need,NN1-VVB
and,CJC
second,NN1
only,AV0
to,PRP
the,AT0
church,NN1
that,CJT
stands,NN2-VVZ
and,CJC
represents,VVZ
our,DPS
spiritual,AJ0
necessity,NN1
The,AT0
Church,NN1
is,VBZ
to,PRP
the,AT0
spirit,NN1
as,CJS
the,AT0
inn,NN1
is,VBZ
to,PRP
the,AT0
flesh,NN1
and,CJC
if,CJS
good,AJ0
and,CJC
well,AV0
designed,VVN
they,PNP
baulk,VVB
the,AT0
devil,NN1
himself,PNX
Edwin,NP0
Lutyens,NP0
in,PRP
The,AT0
Builder,NN1
October,NP0
quoted,VVN-VVD
in,PRP
Claire,NP0
Hunt,NP0
The,AT0
Public,AJ0-NN1
House,NN1
in,PRP
Manchester,NP0
A,AT0
Subject,NN1
for,PRP
Conservation,NN1-AJ0
unpublished,AJ0
University,NN1
of,PRF
Manchester,NP0
MA,NP0-NN1
thesis,NN1
When,CJS
you,PNP
have,VHB
lost,VVN
your,DPS
Inns,NN2
drown,VVB
your,DPS
empty,AJ0
selves,NN2
for,CJS
you,PNP
will,VM0
have,VHI
lost,VVN
the,AT0
last,ORD
of,PRF
England,NP0
Hilaire,NP0
Belloc,NP0
quoted,VVN-VVD
in,PRP
Christopher,NP0
Hutt,NP0
The,AT0
Death,NN1
of,PRF
the,AT0
English,AJ0-NN1
Pub,NN1
It,PNP
is,VBZ
an,AT0
truism,NN1
to,TO0
say,VVI
that,CJT
the,AT0
institution,NN1
of,PRF
the,AT0
pub,NN1
is,VBZ
unique,AJ0
to,PRP
Britain,NP0
but,CJC
it,PNP
is,VBZ
still,AV0
one,PNI
which,DTQ
is,VBZ
well,AV0
worth,PRP
resurrecting,VVG
It,PNP
is,VBZ
also,AV0
a,AT0
fairly,AV0
obvious,AJ0
statement,NN1
to,TO0
say,VVI
that,CJT
historic,AJ0
pubs,NN2
have,VHB
served,VVN
the,AT0
function,NN1
well,AV0
for,PRP
of,PRF
years,NN2
As,CJS
Alan,NP0
Crawford,NP0
noted,VVD
in,PRP
the,AT0
report,NN1
Time,NN1
Gentlemen,NN2
Please,AV0
of,PRF
old,AJ0
pubs,NN2
are,VBB
not,XX0
isolated,VVN-AJ0
or,CJC
monumental,AJ0
but,CJC
part,NN1
of,PRF
the,AT0
fabric,NN1
of,PRF
the,AT0
city,NN1
and,CJC
of,PRF
people,NN0
ordinary,AJ0
lives,NN2
history,NN1
They,PNP
are,VBB
not,XX0
arcane,AJ0
but,CJC
easily,AV0
enjoyable,AJ0
They,PNP
are,VBB
not,XX0
inaccessible,AJ0
but,CJC
quite,AV0
the,AT0
reverse,NN1
and,CJC
they,PNP
have,VHB
their,DPS
original,AJ0
working,AJ0-VVG
use,NN1-VVB
still,AV0
Often,AV0
local,AJ0
pubs,NN2
serve,VVB
as,PRP
a,AT0
base,NN1
for,PRP
the,AT0
local,AJ0
community,NN1
as,CJS
Neil,NP0
Richardson,NP0
pointed,VVD
out,AVP
in,PRP
CAMRA,NP0
Pub,NN1
Preservation,NN1
report,NN1
of,PRF
The,AT0
pub,NN1
is,VBZ
first,ORD
and,CJC
foremost,AJS
a,AT0
social,AJ0
centre,NN1
the,AT0
best,AJS
ever,AV0
invented,VVN
If,CJS
the,AT0
pubs,NN2
are,VBB
taken,VVN
away,AV0
then,AV0
the,AT0
community,NN1
is,VBZ
the,AT0
poorer,AJC
for,PRP
it,PNP
It,PNP
is,VBZ
thus,AV0
both,AV0
puzzling,AJ0-VVG
and,CJC
worrying,AJ0-VVG
that,CJT
so,AV0
many,DT0
brewers,NN2
are,VBB
still,AV0
apparently,AV0
obsessed,AJ0
with,PRP
eradicating,VVG
the,AT0
uniqueness,NN1
of,PRF
the,AT0
individual,AJ0
historic,AJ0
pub,NN1
effectively,AV0
destroying,VVG
what,DTQ
has,VHZ
been,VBN
a,AT0
familiar,AJ0
and,CJC
secure,AJ0
social,AJ0
centre,NN1
in,PRP
their,DPS
attempts,NN2
to,TO0
improve,VVI
upon,PRP
a,AT0
successful,AJ0
formula,NN1
The,AT0
pressure,NN1
to,TO0
remodel,VVI
old,AJ0
pubs,NN2
is,VBZ
of,PRF
course,NN1
nothing,PNI
new,AJ0
The,AT0
Victorian,AJ0
and,CJC
Edwardian,AJ0
eras,NN2
witnessed,VVD
many,DT0
wholesale,AJ0
rebuildings,NN2
of,PRF
modest,AJ0
Georgian,AJ0
during,PRP
the,AT0
Interwar,NN1-NP0
period,NN1
even,AV0
more,DT0
money,NN1
was,VBD
pumped,VVN
into,PRP
enlarging,VVG
and,CJC
rebuilding,VVG
old,AJ0
pubs,NN2
as,CJS
well,AV0
as,CJS
in,PRP
creating,VVG
large,AJ0
new,AJ0
ones,NN2
see,VVB
Alan,NP0
Powers,NP0
essay,NN1
below,AV0
However,AV0
alterations,NN2
were,VBD
more,AV0
often,AV0
than,CJS
not,XX0
effected,VVN
with,PRP
some,DT0
degree,NN1
of,PRF
sympathy,NN1
for,PRP
the,AT0
existing,AJ0
fabric,NN1
and,CJC
atmosphere,NN1
With,PRP
the,AT0
advent,NN1
of,PRF
postwar,AJ0
Modernism,NN1
much,DT0
of,PRF
this,DT0
sympathy,NN1
evaporated,VVD-VVN
The,AT0
ascetic,AJ0
modernists,NN2
rejection,NN1
of,PRF
history,NN1
in,PRP
order,NN1
to,TO0
create,VVI
a,AT0
visionary,AJ0
brave,AJ0
New,AJ0
World,NN1
was,VBD
clearly,AV0
incompatible,AJ0
with,PRP
the,AT0
historic,AJ0
pub,NN1
This,DT0
attitude,NN1
was,VBD
amply,AV0
revealed,VVN
in,PRP
the,AT0
results,NN2
of,PRF
the,AT0
competition,NN1
Inside,PRP
the,AT0
Pub,NN1
launched,VVD
jointly,AV0
by,PRP
The,AT0
Architectural,AJ0
Review,NN1
and,CJC
The,AT0
Brewers,NN2
Society,NN1
in,PRP
In,PRP
October,NP0
of,PRF
that,DT0
year,NN1
the,AT0
AR,ITJ
regretted,VVD-VVN
that,CJT
nearly,AV0
all,DT0
competition,NN1
entries,NN2
had,VHD
evaded,VVN
the,AT0
key,AJ0
problem,NN1
and,CJC
had,VHD
signally,AV0
failed,VVN
to,TO0
achieve,VVI
the,AT0
genuine,AJ0
pub,NN1
atmosphere,NN1
Contemporary,AJ0
design,NN1
the,AT0
magazine,NN1
editor,NN1
regretted,VVD-VVN
because,CJS
it,PNP
has,VHZ
no,AT0
roots,NN2
in,PRP
the,AT0
vernacular,AJ0-NN1
idiom,NN1
will,VM0
not,XX0
appear,VVI
immediately,AV0
familiar,AJ0
whilst,CJS
the,AT0
and,CJC
the,AT0
styles,NN2
which,DTQ
have,VHB
been,VBN
so,AV0
prevalent,AJ0
no,ITJ
matter,NN1
how,AVQ
misguided,AJ0
in,PRP
themselves,PNX
have,VHB
sprung,VVN
from,PRP
a,AT0
genuine,AJ0
attempt,NN1
to,TO0
preserve,VVI
a,AT0
traditional,AJ0
atmosphere,NN1
As,CJS
pub,NN1
designer,NN1
Tim,NP0
May,NP0
noted,VVD
in,PRP-AVP
his,DPS
address,NN1
to,PRP
CAMRA,NP0
AGM,NN1
of,PRF
By,PRP
any,DT0
objective,AJ0
standards,NN2
the,AT0
competition,NN1
was,VBD
a,AT0
disaster,NN1
The,AT0
response,NN1
of,PRF
the,AT0
and,CJC
to,PRP
this,DT0
failure,NN1
to,TO0
capture,VVI
the,AT0
essence,NN1
of,PRF
the,AT0
traditional,AJ0
pub,NN1
was,VBD
the,AT0
corporate,AJ0
image,NN1
and,CJC
the,AT0
proliferation,NN1
of,PRF
fun,AJ0-NN1
Thankfully,AV0
most,DT0
of,PRF
the,AT0
more,AV0
extreme,AJ0
excesses,NN2
of,PRF
the,AT0
theme,NN1
pub,NN1
craze,NN1-VVB
so,AV0
ably,AV0
analysed,VVN
by,PRP
Christopher,NP0
Hutt,NP0
in,PRP
his,DPS
classic,AJ0-NN1
work,NN1
of,PRF
have,VHB
now,AV0
disappeared,VVN
With,PRP
them,PNP
have,VHB
gone,VVN
much,DT0
of,PRF
the,AT0
outrageously,AV0
condescending,AJ0
theorising,NN1
expressed,VVN
by,PRP
professionals,NN2
such,DT0
as,PRP
Watney,NP0
Mann,NP0
head,NN1-AJ0
designer,NN1
Roy,NP0
who,PNQ
declared,VVD
in,PRP
the,AT0
early,AJ0
I,PNP
want,VVB
to,TO0
