september,NP0
caterer,NN1
hotelkeeper,NN1-NP0
smoking,NN1-VVG
banning,VVG
the,AT0
weed,NN1
solutions,NN2
training,NN1-VVG
and,CJC
support,NN1-VVB
plus,PRP
chef,NN1
magazine,NN1
news,NN1
opinion,NN1
pressure,NN1
grows,VVZ
for,PRP
changes,NN2
to,TO0
bank,VVI
holidays,NN2
are,VBB
hoteliers,NN2
gearing,VVG
up,AVP
for,PRP
the,AT0
new,AJ0
ec,NP0
fire,NN1
safety,NN1
directive,NN1
telephone,VVB-NN1
charges,NN2
come,VVB
under,PRP-AVP
attack,NN1-VVB
again,AV0
international,AJ0
eire,NP0
national,AJ0
food,NN1
centre,NN1
report,NN1
stresses,NN2-VVZ
need,VVB-NN1
for,PRP
quality,NN1
india,NP0
woos,VVZ
foreign,AJ0
investment,NN1
with,PRP
favourable,AJ0
legislation,NN1
letters,NN2
people,NN0
forte,NN1
hotels,NN2
announces,VVZ
overseas,AJ0
management,NN1
reshuffle,NN1-VVB
viewpoint,NN1
saverio,NP0-NN1
buchicchio,NP0-NN1
what,DTQ
colleges,NN2
should,VM0
be,VBI
doing,VDG
to,TO0
support,VVI
the,AT0
industry,NN1
joe,NP0
hyam,NP0-NN1
on,PRP
unhealthy,AJ0
obsessions,NN2
with,PRP
diet,NN1
business,NN1
banking,NN1
on,PRP
the,AT0
europa,NP0-NN1
gatwick,NP0
hotel,NN1
qmh,NP0
experiences,NN2
difficult,AJ0
times,NN2
property,NN1
westminster,NP0
city,NN1
council,NN1
rejects,VVZ
harrods,NP0
hotel,NN1
plan,NN1
food,NN1
prices,NN2
food,NN1
cost,NN1-VVB
index,NN1
personnel,NN2
personnel,NN2
chiefs,NN2
are,VBB
gaining,VVG
seats,NN2
on,PRP
company,NN1
boards,NN2
features,NN2
menus,NN2
american,AJ0
food,NN1
and,CJC
wine,NN1
is,VBZ
frances,NP0
bissell,NP0
theme,NN1
this,DT0
week,NN1
chinese,AJ0
teachings,NN2
norwich,NP0
hotel,NN1
school,NN1
is,VBZ
enlightening,VVG
its,DPS
pupils,NN2
to,PRP
chinese,AJ0
cuisine,NN1
solutions,NN2
technology,NN1
supplement,NN1-VVB
including,PRP
news,NN1
new,AJ0
products,NN2
a,AT0
viewpoint,NN1
data,NN0
training,NN1-VVG
and,CJC
a,AT0
catering,NN1
allied,AJ0
case,NN1
study,NN1
what,DTQ
new,AJ0
liquid,AJ0
assets,NN2
italian,AJ0
wines,NN2
a,AT0
fresh,AJ0
approach,NN1
drinks,NN2
news,NN1
wine,NN1
spirit,NN1
association,NN1
to,TO0
deal,VVI
with,PRP
complaints,NN2
about,PRP
ehos,NN2
polish,VVB-NN1
up,AVP
on,PRP
cutlery,NP0-NN1
how,AVQ
to,TO0
recognise,VVI
source,VVI
and,CJC
maintain,VVI
quality,NN1
cutlery,NN1
taking,VVG
shape,NN1-VVB
we,PNP
highlight,VVB
the,AT0
versatility,NN1
and,CJC
variety,NN1
of,PRF
pasta,NN1
index,NN1-VVB
to,PRP
advertisers,NN2
ec,NP0
food,NN1
hygiene,NN1
document,NN1
criticised,VVN-VVD
as,CJS
too,AV0
weak,AJ0
food,NN1
classified,AJ0-VVN
your,DPS
next,ORD
move,NN1-VVB
all,DT0
the,AT0
best,AJS
jobs,NN2
and,CJC
property,NN1
next,ORD
week,NN1
languages,NN2
europe,NP0
and,CJC
national,AJ0
leisure,NN1
catering,NN1-VVG
profile,NN1
interiors,NN2
focus,VVB-NN1
on,PRP
danesfield,NP0-NN1
house,NN1
buckinghamshire,NP0
above,AV0
opinion,NN1
why,AVQ
holidays,NN2
mean,VVB
more,DT0
work,NN1-VVB
the,AT0
tourism,NN1
and,CJC
leisure,NN1
group,NN1
of,PRF
the,AT0
national,AJ0
economic,AJ0
development,NN1
council,NN1
nedc,NP0
has,VHZ
proposed,VVN
that,CJT
the,AT0
uk,NP0
reorganise,VVB
its,DPS
public,AJ0-NN1
holidays,NN2
see,VVB
page,NN1
good,AJ0
idea,NN1
this,DT0
would,VM0
extend,VVI
the,AT0
tourist,NN1
season,NN1
into,PRP
late,AJ0
summer,NN1
and,CJC
autumn,NN1
and,CJC
bring,VVB
britain,NP0
more,AV0
into,PRP
line,NN1
with,PRP
its,DPS
european,AJ0
neighbours,NN2
the,AT0
british,AJ0
tourist,NN1
authority,NN1
likes,VVZ
it,PNP
the,AT0
government,NN1
however,AV0
has,VHZ
no,AT0
immediate,AJ0
plans,NN2
to,TO0
change,VVI
the,AT0
public,AJ0-NN1
holiday,NN1
the,AT0
industry,NN1
has,VHZ
marketed,VVN
britain,NP0
energetically,AV0
as,PRP-CJS
a,AT0
destination,NN1
with,PRP
many,DT0
attractions,NN2
that,CJT
do,VDB
not,XX0
leave,VVI
the,AT0
visitor,NN1
at,PRP
the,AT0
mercy,NN1
of,PRF
our,DPS
fickle,AJ0
weather,NN1
the,AT0
public,AJ0-NN1
holidays,NN2
should,VM0
reflect,VVI
that,DT0
families,NN2
with,PRP
children,NN2
tend,VVB
to,TO0
be,VBI
restricted,VVN
for,PRP
their,DPS
main,AJ0
holiday,NN1
to,PRP
of,PRF
the,AT0
main,AJ0
school,NN1
breaks,NN2-VVZ
but,CJC
if,CJS
the,AT0
children,NN2
autumn,NN1
coincided,VVD
with,PRP
a,AT0
bank,NN1
holiday,NN1
weekend,NN1
for,PRP
their,DPS
parents,NN2
that,DT0-CJT
would,VM0
make,VVI
sense,NN1
both,AV0
for,PRP
families,NN2
and,CJC
for,PRP
the,AT0
tourist,NN1
and,CJC
leisure,NN1
industry,NN1
at,PRP
the,AT0
other,AJ0
end,NN1
of,PRF
the,AT0
tourist,NN1
season,NN1
britain,NP0
has,VHZ
a,AT0
of,PRF
holiday,NN1
weekends,NN2
particularly,AV0
if,CJS
easter,NN1
is,VBZ
late,AJ0
when,CJS
it,PNP
is,VBZ
followed,VVN
closely,AV0
by,PRP
may,NP0
day,NN1
and,CJC
not,XX0
much,AV0
later,AV0
by,PRP
the,AT0
spring,NN1
bank,NN1
holiday,NN1
the,AT0
nedc,NN1-NP0
committee,NN1
suggests,VVZ
that,CJT
of,PRF
these,DT0
could,VM0
be,VBI
transplanted,VVN
to,PRP
october,NP0
but,CJC
why,AVQ
not,XX0
move,VVI
them,PNP
further,AV0
apart,AV0
and,CJC
add,VVB
another,DT0
in,PRP
the,AT0
autumn,NN1
even,AV0
then,AV0
we,PNP
would,VM0
trail,VVI
behind,PRP
other,AJ0
european,AJ0
community,NN1
members,NN2
such,DT0
as,PRP
germany,NP0
france,NP0
and,CJC
italy,NP0
each,DT0
with,PRP
public,AJ0-NN1
holidays,NN2-VVZ
a,AT0
year,NN1
spain,NP0
and,CJC
portugal,NP0
with,PRP
each,DT0
and,CJC
denmark,NP0
with,PRP
britain,NP0
has,VHZ
just,AV0
statutory,AJ0
days,NN2
off,AVP
the,AT0
prosaic,AJ0
explanation,NN1
for,PRP
the,AT0
government,NN1
inaction,NN1
is,VBZ
an,AT0
insult,NN1
to,PRP
tourism,NN1
manufacturers,NN2
have,VHB
told,VVN
government,NN1
that,CJT
they,PNP
want,VVB
an,AT0
uninterrupted,AJ0
flow,NN1
of,PRF
production,NN1
between,PRP
the,AT0
august,NP0
bank,NN1
holiday,NN1
and,CJC
christmas,NN1
the,AT0
fear,NN1
is,VBZ
that,CJT
if,CJS
this,DT0
is,VBZ
broken,VVN-AJ0
britain,NP0
becomes,VVZ
less,AV0
competitive,AJ0
but,CJC
that,DT0
has,VHZ
happened,VVN
to,PRP
our,DPS
european,AJ0
competitors,NN2
who,PNQ
have,VHB
more,DT0
bank,NN1
holidays,NN2
than,CJS
the,AT0
british,AJ0
tourism,NN1
is,VBZ
our,DPS
second,ORD
biggest,AJS
contributor,NN1
after,PRP
north,NP0
sea,NP0
oil,NN1
to,TO0
gross,VVI
domestic,AJ0
product,NN1
out,AVP
of,PRF
this,DT0
money,NN1
machine,VVB-NN1
the,AT0
government,NN1
collects,VVZ
many,DT0
of,PRF
in,PRP
vat,NN1
corporation,NN1
tax,NN1
income,NN1
tax,NN1
and,CJC
national,AJ0
insurance,NN1
contributions,NN2
it,PNP
is,VBZ
asked,VVN
to,TO0
put,VVI
very,AV0
little,DT0
back,NN1
to,TO0
have,VHI
ideas,NN2
like,PRP
this,DT0
one,PNI
taken,VVN
seriously,AV0
and,CJC
to,TO0
be,VBI
treated,VVN
with,PRP
respect,NN1
is,VBZ
surely,AV0
a,AT0
reasonable,AJ0
request,NN1
news,NN1
the,AT0
dartford,NP0
bridge,NN1
set,VVD
to,TO0
open,VVI
in,PRP
october,NP0
is,VBZ
being,VBG
welcomed,VVN
by,PRP
the,AT0
marketing,NN1
consortium,NN1
the,AT0
m25,UNC
meetings,NN2
group,NN1
members,NN2
of,PRF
the,AT0
group,NN1
of,PRF
hotels,NN2
conference,NN1
centres,NN2
and,CJC
stately,AJ0
homes,NN2
hope,VVB
to,TO0
use,VVI
the,AT0
bridge,NN1
as,PRP
a,AT0
strong,AJ0
marketing,NN1
tool,NN1
a,AT0
survey,NN1
among,PRP
the,AT0
group,NN1
founder,NN1-VVB
properties,NN2
found,VVD-VVN
that,CJT
conferences,NN2
were,VBD
booked,VVN
in,PRP
attracting,VVG
delegates,NN2
the,AT0
group,NN1
first,ORD
bridge,NN1
promotion,NN1
began,VVD
this,DT0
week,NN1
with,PRP
the,AT0
launch,NN1
of,PRF
m25,UNC
meetings,NN2
month,NN1
pictured,VVN-AJ0
from,PRP
left,NN1
to,PRP
right,NN1
are,VBB
felicity,NP0
thompson,NP0
sales,NN0
officer,NN1
at,PRP
hever,NP0-NN1
castle,NN1
kent,NP0
charles,NP0
blowfield,NP0
managing,AJ0
director,NN1
of,PRF
down,NP0
hall,NN1
hotel,NN1
bishop,NP0
stortford,NP0
herts,NP0
basil,NP0
sanderson,NP0
proprietor,NN1
of,PRF
selsdon,NP0
park,NN1
hotel,NN1
croydon,NP0
surrey,NP0
jean,NP0
glover,NP0
business,NN1
development,NN1
manager,NN1
at,PRP
the,AT0
gatwick,NP0
hilton,NP0
and,CJC
barbara,NP0
dadouche,NP0
sales,NN0
manager,NN1
at,PRP
oatlands,NP0
park,NN1
hotel,NN1
weybridge,NP0
surrey,NP0
financial,NP0
qs,UNC
as,CJS
are,VBB
you,PNP
an,AT0
independent,AJ0
hotelier,NN1
or,CJC
restaurateur,NN1
experiencing,VVG
problems,NN2
with,PRP
your,DPS
bank,NN1
or,CJC
perhaps,AV0
you,PNP
have,VHB
a,AT0
good,AJ0
relationship,NN1
with,PRP
your,DPS
financial,AJ0
backers,NN2
caterer,NN1
in,PRP
association,NN1
with,PRP
reed,NP0
catering,NN1
is,VBZ
undertaking,VVG
a,AT0
confidential,AJ0
telephone,NN1
survey,NN1
on,PRP
the,AT0
relationship,NN1
between,PRP
the,AT0
banks,NN2
and,CJC
our,DPS
industry,NN1
in,PRP
preparation,NN1
for,PRP
a,AT0
forthcoming,AJ0
forum,NN1
facing,VVG
the,AT0
financiers,NN2
would,VM0
you,PNP
be,VBI
prepared,AJ0
to,TO0
contribute,VVI
if,CJS
so,AV0
please,AV0
write,VVB
to,PRP
amanda,NP0
howell,NP0
caterer,NN1
hotelkeeper,NP0-NN1
quadrant,NN1
house,NN1
the,AT0
quadrant,NN1
sutton,NP0
surrey,NP0
sm2,UNC
5as,UNC
please,AV0
include,VVB
a,AT0
daytime,NN1
telephone,NN1-VVB
number,NN1
authors,NN2
of,PRF
the,AT0
first,ORD
replies,NN2
received,VVN
will,VM0
be,VBI
invited,VVN
as,PRP
guests,NN2
to,PRP
the,AT0
forum,NN1
on,PRP
october,NP0
at,PRP
the,AT0
savoy,NP0
london,NP0
conservative,AJ0
pressure,NN1
group,NN1
calls,VVZ-NN2
for,PRP
ban,NN1-VVB
proposals,NN2
from,PRP
a,AT0
pressure,NN1
group,NN1
to,TO0
ban,VVI
staff,NN0
from,PRP
working,VVG
with,PRP
food,NN1
have,VHB
been,VBN
criticised,VVN
by,PRP
personnel,NN2
chiefs,NN2
in,PRP
the,AT0
industry,NN1
the,AT0
report,NN1
by,PRP
the,AT0
conservative,AJ0-NN1
family,NN1
campaign,NN1
called,VVN
for,PRP
restrictions,NN2
on,PRP
aids,NN1
sufferers,NN2
and,CJC
those,DT0
carrying,VVG
the,AT0
hiv,NP0
virus,NN1
including,PRP
preventing,VVG
them,PNP
from,PRP
working,VVG
with,PRP
food,NN1
for,PRP
the,AT0
public,NN1
the,AT0
advice,NN1
from,PRP
the,AT0
group,NN1
once,AV0
again,AV0
raised,VVD-VVN
the,AT0
sensitive,AJ0
