the,AT0
seventh,ORD
birmingham,NP0
international,AJ0
film,NN1
television,NN1
festival,NN1
sept,NP0
oct,NP0
contents,NN2
introductions,NN2
festival,NN1
board,NN1
festival,NN1
staff,NN0
opening,NN1-VVG
and,CJC
closing,AJ0-VVG
films,NN2
special,AJ0
screenings,NN2
festival,NN1
fortnight,NN1
of,PRF
international,AJ0
cinema,NN1
bertrand,NP0
tavernier,NP0
retrospective,AJ0
a,ZZ0
tribute,NN1
to,PRP
muriel,NP0
box,NN1
working,AJ0
title,NN1
the,AT0
story,NN1
so,AV0
far,AV0
world,NN1
premiere,NN1
ub40,UNC
a,AT0
family,NN1
affair,NN1
third,ORD
cinema,NN1
focus,NN1-VVB
the,AT0
ghatak,NP0-NN1
tradition,NN1
festival,NN1
films,NN2
and,CJC
events,NN2
calendar,NN1
booking,VVG-NN1
information,NN1
television,NN1
weekend,NN1
conference,NN1
cities,NN2
and,CJC
media,NN0
forum,NN1
writers,NN2
talks,NN2-VVZ
guardian,NN1
screen,NN1
and,CJC
tv,NN1
writers,NN2
royal,AJ0
television,NN1
society,NN1
lecture,NN1
writers,NN2
workshops,NN2
location,NN1
birmingham,NP0
raymond,NP0
williams,NP0
memorial,NN1
lecture,NN1
eureka,ITJ
audio,AJ0-NN1
visual,AJ0
opening,NN1
shots,NN2
forum,NN1
awards,NN2-VVZ
dinner,NN1
media,NN0
business,NN1
seminars,NN2
independent,AJ0
producers,NN2
forum,NN1
exhibitions,NN2
screenings,NN2
and,CJC
events,NN2
at,PRP
other,AJ0
venues,NN2
children,NN2
films,NN2
fifth,ORD
and,CJC
sixth,ORD
form,NN1-VVB
screenings,NN2
of,PRF
films,NN2
and,CJC
directors,NN2
film,NN1
festival,NN1
sponsors,NN2
and,CJC
acknowledgements,NN2
inside,AV0
rik,NP0
mayall,NP0
in,PRP
drop,NN1-VVB
dead,AJ0
fred,NP0
this,DT0
year,NN1
opening,NN1-AJ0
film,NN1
stepping,VVG
out,AVP
the,AT0
director,NN1
of,PRF
shirley,NP0
valentine,NP0
teams,VVZ
up,AVP
with,PRP
the,AT0
stars,NN2
of,PRF
educating,NP0
rita,NP0
and,CJC
cabaret,NN1
who,NP0
needs,VVZ
a,AT0
heart,NN1
we,PNP
premiere,VVB
the,AT0
brand,NN1
new,AJ0
film,NN1
from,PRP
the,AT0
makers,NN2
of,PRF
handsworth,NP0
songs,NN2
the,AT0
commitments,NN2
alan,NP0
parker,NP0
new,AJ0
film,NN1
closes,VVZ
the,AT0
festival,NN1
wonderfully,AV0
humorous,AJ0
and,CJC
bursting,VVG
with,PRP
life,NN1
free,VVB
your,DPS
essential,AJ0
guide,NN1
to,PRP
the,AT0
festival,NN1
introductions,NN2
the,AT0
city,NN1
of,PRF
birmingham,NP0
has,VHZ
great,AJ0
movie,NN1
traditions,NN2
the,AT0
inventor,NN1
of,PRF
celluloid,NN1
alexander,NP0
parkes,NP0
was,VBD
a,AT0
birmingham,NP0
man,NN1
so,AV0
too,AV0
was,VBD
oscar,NP0-NN1
deutsch,UNC
who,PNQ
set,VVD
up,AVP
the,AT0
odeon,NN1-NP0
cinema,NN1
chain,NN1
from,PRP
colmore,NP0
row,NN1-VVB
in,PRP
the,AT0
and,CJC
sir,NP0
michael,NP0
balcon,NN1-NP0
of,PRF
ealing,NP0
studio,NN1
fame,NN1
who,PNQ
named,VVD
the,AT0
policeman,NN1
george,NP0
dixon,NP0
in,PRP
the,AT0
film,NN1
the,AT0
blue,AJ0
lamp,NN1
after,CJS
his,DPS
old,AJ0
school,NN1
is,VBZ
also,AV0
a,AT0
son,NN1
of,PRF
the,AT0
city,NN1
and,CJC
as,CJS
last,ORD
year,NN1
retrospective,AJ0-NN1
of,PRF
the,AT0
films,NN2
of,PRF
tony,NP0
garnett,NP0
has,VHZ
shown,VVN
birmingham,NP0
impressive,AJ0
movie,NN1
traditions,NN2
are,VBB
continuing,VVG-AJ0
it,PNP
is,VBZ
on,PRP
this,DT0
splendid,AJ0
foundation,NN1
that,CJT
the,AT0
birmingham,NP0
international,AJ0
film,NN1
and,CJC
television,NN1
festival,NN1
is,VBZ
built,VVN
enhancing,VVG
the,AT0
city,NN1
of,PRF
birmingham,NP0
as,PRP
a,AT0
media,NN0
city,NN1
the,AT0
birmingham,NP0
international,AJ0
film,NN1
and,CJC
television,NN1
festival,NN1
enters,VVZ
its,DPS
seventh,ORD
year,NN1
in,PRP
acknowledged,VVD-AJ0
as,PRP
an,AT0
event,NN1
of,PRF
national,AJ0
and,CJC
international,AJ0
importance,NN1
the,AT0
festival,NN1
also,AV0
plays,VVZ
a,AT0
role,NN1
in,PRP
the,AT0
artistic,AJ0
renaissance,NN1
of,PRF
birmingham,NP0
a,AT0
profile,NN1
confirmed,VVN
by,PRP
the,AT0
continuing,AJ0
success,NN1
of,PRF
the,AT0
city,NN1
of,PRF
birmingham,NP0
symphony,NN1
orchestra,NN1
under,PRP
its,DPS
artistic,AJ0
director,NN1
simon,NP0
rattle,NN1-VVB
the,AT0
recent,AJ0
move,NN1
of,PRF
both,DT0
the,AT0
birmingham,NP0
royal,AJ0
ballet,NN1
formerly,AV0
sadler,NP0
wells,NP0
royal,AJ0
ballet,NN1
and,CJC
the,AT0
carte,NP0
opera,NN1
company,NN1
to,PRP
birmingham,NP0
the,AT0
newly,AV0
launched,VVN
towards,PRP
the,AT0
millennium,NN1
annual,AJ0
arts,NN2
festival,NN1
and,CJC
the,AT0
arts,NN2
council,NN1
of,PRF
great,NP0
britain,NP0
invitation,NN1
to,PRP
birmingham,NP0
to,TO0
launch,VVI
arts,NN2
as,PRP
the,AT0
uk,NP0
city,NN1
of,PRF
music,NN1
in,PRP
the,AT0
film,NN1
and,CJC
television,NN1
industries,NN2
are,VBB
important,AJ0
ingredients,NN2
of,PRF
the,AT0
city,NN1
culture,NN1
and,CJC
the,AT0
festival,NN1
reflects,VVZ
this,DT0
in,PRP
its,DPS
informal,AJ0
atmosphere,NN1
giving,VVG
endless,AJ0
pleasure,NN1
to,PRP
the,AT0
many,DT0
cinema,NN1
goers,NN2
from,PRP
the,AT0
city,NN1
and,CJC
to,PRP
the,AT0
numerous,AJ0
professionals,NN2
who,PNQ
visit,VVB
the,AT0
city,NN1
for,PRP
the,AT0
festival,NN1
i,PNP
wish,VVB
the,AT0
festival,NN1
success,NN1
for,PRP
councillor,NN1
bryan,NP0
bird,NN1-NP0
chairman,NN1
leisure,NN1
services,NN2
committee,NN1
to,PRP
the,AT0
festival,NN1
with,PRP
that,DT0
year,NN1
itch,NN1-VVB
as,PRP-CJS
a,AT0
great,AJ0
movie,NN1
fan,NN1-VVB
each,DT0
year,NN1
i,PNP
try,VVB
and,CJC
keep,VVB
a,AT0
fortnight,NN1
clear,AJ0
to,TO0
spend,VVI
time,NN1
at,PRP
the,AT0
birmingham,NP0
international,AJ0
film,NN1
and,CJC
television,NN1
festival,NN1
the,AT0
festival,NN1
come,VVN
of,PRF
age,NN1
of,PRF
late,AV0
and,CJC
i,PNP
am,VBB
more,DT0
than,CJS
happy,AJ0
that,CJT
my,DPS
sax,NN1
playing,NN1-VVG
has,VHZ
been,VBN
the,AT0
soundtrack,NN1
for,PRP
the,AT0
festival,NN1
cinema,NN1
trailer,NN1
in,PRP
recent,AJ0
years,NN2
for,PRP
film,NN1
lovers,NN2
the,AT0
festival,NN1
the,AT0
place,NN1
to,TO0
be,VBI
in,PRP
september,NP0
it,PNP
grows,VVZ
from,PRP
strength,NN1
to,PRP
strength,NN1
each,DT0
year,NN1
and,CJC
the,AT0
quality,NN1
of,PRF
the,AT0
programme,NN1
gets,VVZ
even,AV0
better,AJC
as,PRP-CJS
a,AT0
director,NN1
myself,PNX
of,PRF
music,NN1
films,NN2-VVZ
it,PNP
great,AJ0
to,TO0
know,VVI
the,AT0
festival,NN1
is,VBZ
contributing,VVG
so,AV0
imaginatively,AV0
to,PRP
the,AT0
of,PRF
birmingham,NP0
as,PRP
a,AT0
major,AJ0
city,NN1
of,PRF
culture,NN1
after,PRP
returning,VVG
from,PRP
a,AT0
month,NN1
tour,NN1-VVB
with,PRP
ub40,UNC
i,PNP
believe,VVB
that,CJT
birmingham,NP0
is,VBZ
establishing,VVG
itself,PNX
as,PRP
europe,NP0
leading,AJ0
city,NN1
of,PRF
the,AT0
arts,NN2
and,CJC
media,NN0
you,PNP
can,VM0
sense,VVI
the,AT0
creative,AJ0
buzz,UNC
in,PRP
the,AT0
city,NN1
i,PNP
set,VVN
up,AVP
my,DPS
own,DT0
production,NN1
company,NN1
now,AV0
to,TO0
harness,VVI
the,AT0
talent,NN1
that,CJT-DT0
in,PRP
the,AT0
city,NN1
and,CJC
bring,VVB
more,DT0
media,NN0
business,NN1
to,PRP
birmingham,NP0
i,PNP
was,VBD
going,VVG
to,TO0
call,VVI
my,DPS
new,AJ0
film,NN1
