My,DPS
story,NN1
starts,VVZ
in,PRP
front,NN1
of,PRF
the,AT0
main,AJ0
noticeboard,NN1
in,PRP
the,AT0
School,NN1
for,PRP
Italian,AJ0
Studies,NN2
about,AV0
years,NN2
ago,AV0
It,PNP
was,VBD
the,AT0
beginning,NN1
of,PRF
the,AT0
summer,NN1
term,NN1
and,CJC
on,PRP
the,AT0
noticeboard,NN1
was,VBD
that,DT0
term,NN1
list,NN1
of,PRF
the,AT0
morning,NN1
lectures,NN2
for,PRP
the,AT0
undergraduates,NN2
This,DT0
noticeboard,NN1
had,VHD
already,AV0
played,VVN
a,AT0
significant,AJ0
part,NN1
in,PRP
my,DPS
life,NN1
nearly,AV0
years,NN2
before,PRP
then,AV0
it,PNP
had,VHD
displayed,VVN
the,AT0
result,NN1
of,PRF
my,DPS
own,DT0
first,ORD
degree,NN1
honours,NN2
a,AT0
few,DT0
years,NN2
later,AV0
had,VHD
come,VVN
the,AT0
perfunctory,AJ0
notice,NN1
saying,VVG
my,DPS
doctoral,AJ0
thesis,NN1
had,VHD
been,VBN
accepted,VVN
by,PRP
the,AT0
college,NN1
and,CJC
shortly,AV0
after,PRP
that,DT0
an,AT0
even,AV0
briefer,AJC
note,NN1
to,PRP
the,AT0
effect,NN1
that,CJT
I,PNP
had,VHD
joined,VVN
the,AT0
teaching,NN1
staff,NN0
Then,AV0
for,PRP
a,AT0
quarter,NN1
of,PRF
a,AT0
century,NN1
I,PNP
displayed,VVD
notices,NN2
there,AV0
myself,PNX
announcing,VVG
seminars,NN2
or,CJC
little,AJ0
trips,NN2-VVZ
to,PRP
galleries,NN2
requesting,VVG
the,AT0
return,NN1
of,PRF
books,NN2
and,CJC
so,AV0
on,AV0
At,PRP
the,AT0
start,NN1
of,PRF
every,AT0
summer,NN1
term,NN1-VVB
for,PRP
goodness,NN1
knows,VVZ
how,AVQ
long,AV0-AJ0
my,DPS
name,NN1
had,VHD
appeared,VVN
times,NN2
on,PRP
the,AT0
new,AJ0
lecture,NN1
list,NN1
The,AT0
after,CJS-PRP
a,AT0
first,ORD
term,NN1
filled,VVN-VVD
with,PRP
the,AT0
medieval,AJ0
period,NN1
and,CJC
a,AT0
second,NN1
with,PRP
the,AT0
Renaissance,NN1
were,VBD
now,AV0
going,VVG
to,TO0
learn,VVI
about,PRP
the,AT0
Baroque,NN1
The,AT0
titles,NN2
of,PRF
my,DPS
lectures,NN2
had,VHD
not,XX0
changed,VVN
since,PRP
the,AT0
early,AJ0
Bernini,NP0
Borromini,NP0-NN1
Carlo,NP0
Fontana,NP0
Sculpture,NN1-VVB
I,ZZ0
and,CJC
Sculpture,NN1-VVB
This,DT0
undemanding,AJ0
had,VHD
never,AV0
been,VBN
disrupted,VVN
and,CJC
I,PNP
read,VVB
the,AT0
new,AJ0
lecture,NN1
list,NN1-VVB
partly,AV0
just,AV0
out,AVP
of,PRF
habit,NN1
and,CJC
partly,AV0
for,PRP
the,AT0
simple,AJ0
pleasure,NN1
of,PRF
seeing,VVG
my,DPS
name,NN1
in,PRP
print,NN1
This,DT0
time,NN1
however,AV0
there,EX0
was,VBD
a,AT0
change,NN1
The,AT0
titles,NN2
of,PRF
my,DPS
lectures,NN2
were,VBD
all,DT0
the,AT0
same,DT0
but,CJC
my,DPS
name,NN1
appeared,VVD
beneath,PRP
only,AV0
out,AVP
of,PRF
the,AT0
of,PRF
them,PNP
Under,PRP
Bernini,NP0
was,VBD
the,AT0
name,NN1
Professor,NP0
Charles,NP0
Howard,NP0
who,PNQ
was,VBD
and,CJC
still,AV0
is,VBZ
the,AT0
school,NN1
Director,NN1
I,PNP
stood,VVD
amid,PRP
a,AT0
gaggle,NN1
of,PRF
laughing,VVG-AJ0
students,NN2
in,PRP
frozen,AJ0
silence,NN1
and,CJC
read,VVB
the,AT0
list,NN1
over,AVP
and,CJC
over,AVP
again,AV0
Morning,NN1
Dorothy,NP0
what,DTQ
up,AVP
It,PNP
was,VBD
David,NP0
Knell,NN1
of,PRF
my,DPS
colleagues,NN2
I,PNP
been,VBN
stabbed,VVN
in,PRP
the,AT0
back,NN1
Everyone,PNI
stopped,VVD
laughing,VVG-AJ0
and,CJC
looked,VVD
at,PRP
me,PNP
What,DTQ
do,VDB
you,PNP
mean,VVI
David,NP0
stammered,VVD
What,DTQ
the,AT0
matter,NN1
I,PNP
said,VVD
nothing,PNI
but,CJC
turned,VVD
away,AV0
and,CJC
walked,VVD
as,AV0
quickly,AV0
as,CJS
I,PNP
could,VM0
towards,PRP
the,AT0
stairs,NN2
and,CJC
down,AVP
to,PRP
the,AT0
student,NN1
canteen,NN1
in,PRP
the,AT0
basement,NN1
I,PNP
desperately,AV0
needed,VVD
a,AT0
cup,NN1
of,PRF
coffee,NN1
I,PNP
can,VM0
see,VVI
that,CJT
I,PNP
may,VM0
have,VHI
a,AT0
little,DT0
difficulty,NN1
explaining,VVG
this,DT0
first,ORD
part,NN1
of,PRF
my,DPS
story,NN1
especially,AV0
to,PRP
anyone,PNI
not,XX0
acquainted,VVN
with,PRP
the,AT0
often,AV0
bizarre,AJ0
rituals,NN2
of,PRF
academic,AJ0
life,NN1
Let,VVB
me,PNP
first,ORD
explain,VVI
Charles,NP0
Howard,NP0
He,PNP
had,VHD
become,VVN
Director,NN1
of,PRF
the,AT0
school,NN1
at,PRP
the,AT0
start,NN1
of,PRF
that,DT0
academic,AJ0
year,NN1
His,DPS
previous,AJ0
experience,NN1
had,VHD
been,VBN
as,PRP
assistant,AJ0
boss,NN1
of,PRF
of,PRF
the,AT0
smaller,AJC
London,NP0
museums,NN2
During,PRP
the,AT0
final,AJ0
year,NN1
of,PRF
office,NN1
of,PRF
the,AT0
previous,AJ0
Director,NN1
Ralph,NP0
Youngman,NP0
Charles,NP0
had,VHD
given,VVN
a,AT0
series,NN0
of,PRF
public,AJ0-NN1
lectures,NN2
at,PRP
the,AT0
school,NN1
on,PRP
Canaletto,NP0
These,DT0
had,VHD
gone,VVN
down,AVP
rather,AV0
well,AV0
and,CJC
as,CJS
our,DPS
Baroque,NN1
painting,NN1
specialist,NN1
was,VBD
leaving,VVG
at,PRP
the,AT0
same,DT0
time,NN1
as,CJS
Youngman,NP0
voices,NN2
were,VBD
raised,VVN
to,TO0
say,VVI
here,AV0
was,VBD
perhaps,AV0
both,AV0
the,AT0
lecturer,NN1
and,CJC
the,AT0
administrator,NN1
we,PNP
were,VBD
looking,VVG
for,PRP
A,ZZ0
Youngman,NP0
protégé,NN1
could,VM0
take,VVI
over,AVP
the,AT0
old,AJ0
boy,NN1
lecturing,VVG-AJ0
responsibilities,NN2
and,CJC
everything,PNI
would,VM0
fit,VVI
together,AV0
rather,AV0
nicely,AV0
Charles,NP0
a,AT0
relative,AJ0
unknown,AJ0
not,XX0
long,AV0
beforehand,AV0
became,VVD
the,AT0
natural,AJ0
choice,NN1
for,PRP
the,AT0
top,AJ0-NN1
job,NN1
Unfortunately,AV0
for,PRP
Charles,NP0
the,AT0
Director,NN1
job,NN1
turned,VVD
out,AVP
to,TO0
be,VBI
beyond,PRP
his,PNP
actually,AV0
rather,AV0
limited,AJ0
administrative,AJ0
abilities,NN2
and,CJC
unable,AJ0
to,TO0
assert,VVI
himself,PNX
in,PRP
that,DT0
field,NN1
he,PNP
busied,VVD
himself,PNX
in,PRP
the,AT0
teaching,NN1
side,NN1
of,PRF
things,NN2
Waiting,VVG
in,PRP
the,AT0
wings,NN2
there,EX0
was,VBD
a,AT0
young,AJ0
colleague,NN1
of,PRF
his,PNP
from,PRP
his,DPS
museum,NN1
days,NN2
Paul,NP0
Spence,NP0
a,AT0
sculpture,NN1
man,NN1
Charles,NP0
wanted,VVD
his,DPS
protégé,NN1
in,PRP-AVP
and,CJC
as,CJS
I,PNP
was,VBD
the,AT0
resident,NN1
and,CJC
unpopular,AJ0
Baroque,NN1
sculpture,NN1
specialist,NN1
I,PNP
happened,VVD
to,TO0
be,VBI
in,PRP
the,AT0
way,NN1
During,PRP
the,AT0
second,ORD
term,NN1
of,PRF
that,DT0
academic,AJ0
year,NN1
the,AT0
knives,NN2
were,VBD
drawn,VVN
Paul,NP0
was,VBD
invited,VVN
to,TO0
give,VVI
a,AT0
series,NN0
of,PRF
public,AJ0-NN1
lectures,NN2
at,PRP
the,AT0
school,NN1
and,CJC
word,NN1
got,VVD
around,AVP
that,CJT
I,PNP
was,VBD
on,PRP
the,AT0
verge,NN1
of,PRF
retirement,NN1
and,CJC
Paul,NP0
would,VM0
be,VBI
happy,AJ0
to,TO0
take,VVI
my,DPS
place,NN1
I,PNP
hear,VVB
you,PNP
thinking,VVG
of,PRF
retiring,AJ0-VVG
David,NP0
Knell,NN1
informed,VVD
me,PNP
over,PRP-AVP
coffee,NN1
morning,NN1
Who,PNQ
told,VVD
you,PNP
that,DT0
Oh,ITJ
I,PNP
heard,VVD
it,PNP
around,AVP
he,PNP
said,VVD
vaguely,AV0
Well,AV0
it,PNP
absolute,AJ0
rubbish,NN1
I,PNP
said,VVD
I,PNP
am,VBB
thinking,VVG
of,PRF
doing,VDG
a,AT0
little,AV0
more,DT0
writing,NN1-VVG
now,AV0
but,CJC
talk,NN1-VVB
of,PRF
retirement,NN1
is,VBZ
nonsense,NN1
Being,VBG
told,VVN
when,CJS
you,PNP
have,VHB
just,AV0
turned,VVN
that,CJT
it,PNP
time,NN1
you,PNP
retired,VVD
does,VDZ
rather,AV0
hurt,VVI
So,AV0
did,VDD
the,AT0
next,ORD
rumour,NN1
I,PNP
hear,VVB
you,PNP
planning,VVG
to,TO0
retire,VVI
so,CJS
you,PNP
can,VM0
concentrate,VVI
on,PRP-AVP
writing,NN1-VVG
Charles,NP0
told,VVD
me,PNP
over,PRP-AVP
tea,NN1
afternoon,NN1
I,PNP
have,VHB
no,AT0
intention,NN1
of,PRF
retiring,VVG-AJ0
at,PRP
all,DT0
I,PNP
merely,AV0
told,VVD
David,NP0
Knell,NN1
that,CJT
I,PNP
might,VM0
write,VVI
more,AV0
in,PRP
future,NN1-AJ0
Colleagues,NN2
stopped,VVD-VVN
talking,VVG
to,PRP
me,PNP
afraid,AJ0
no,AT0
doubt,NN1
that,CJT
being,NN1
on,PRP
the,AT0
wrong,AJ0
side,NN1
of,PRF
the,AT0
new,AJ0
Director,NN1
might,VM0
prove,VVI
contagious,AJ0
Paul,NP0
popped,VVD
round,AVP
for,PRP
tea,NN1
more,AV0
frequently,AV0
than,CJS
was,VBD
decent,AJ0
for,PRP
a,AT0
visiting,AJ0
lecturer,NN1
and,CJC
he,PNP
seemed,VVD
to,TO0
get,VVI
on,AVP-PRP
very,AV0
well,AV0
with,PRP
everyone,PNI
He,PNP
was,VBD
and,CJC
is,VBZ
a,AT0
distinctly,AV0
affable,AJ0
chap,NN1
whereas,CJS
I,PNP
came,VVD
across,PRP
as,AV0
cold,AJ0
prickly,AJ0
and,CJC
generally,AV0
difficult,AJ0
Anyway,AV0
on,PRP
the,AT0
first,ORD
day,NN1
of,PRF
that,DT0
summer,NN1
term,NN1
I,PNP
remember,VVB
sitting,VVG
alone,AJ0
in,PRP
the,AT0
cafeteria,NN1
slowly,AV0
drinking,VVG
my,DPS
cup,NN1
of,PRF
coffee,NN1
and,CJC
listening,VVG-AJ0
as,PRP-CJS
all,AV0
around,PRP
me,PNP
people,NN0
welcomed,VVD
each,DT0
other,NN1
back,AVP
from,PRP
their,DPS
holidays,NN2
Charles,NP0
Howard,NP0
had,VHD
just,AV0
delivered,VVN
me,PNP
a,AT0
colossal,AJ0
snub,NN1
Bernini,NP0
was,VBD
arguably,AV0
the,AT0
most,AV0
important,AJ0
architect,NN1
and,CJC
sculptor,NN1
in,PRP
my,DPS
period,NN1
and,CJC
Charles,NP0
had,VHD
effectively,AV0
indicated,VVN
that,CJT
I,PNP
was,VBD
not,XX0
competent,AJ0
to,TO0
lecture,VVI
on,PRP
him,PNP
At,PRP
some,DT0
point,NN1-VVB
that,DT0
day,NN1
everyone,PNI
would,VM0
look,VVI
at,PRP
that,DT0
noticeboard,NN1
and,CJC
they,PNP
would,VM0
all,DT0
understand,VVI
the,AT0
implications,NN2
behind,PRP
what,DTQ
he,PNP
had,VHD
done,VDN
I,PNP
had,VHD
been,VBN
humiliated,VVN
in,PRP
front,NN1
of,PRF
my,DPS
public,NN1
Nothing,PNI
like,PRP
this,DT0
had,VHD
ever,AV0
happened,VVN
to,PRP
me,PNP
before,AV0
and,CJC
I,PNP
was,VBD
determined,VVN
to,TO0
make,VVI
a,AT0
swift,AJ0
counterattack,NN1
Hello,ITJ
Dr,NP0
Streeter,NP0
how,AVQ
was,VBD
your,DPS
holiday,NN1
It,PNP
was,VBD
of,PRF
my,DPS
students,NN2
Fine,AJ0
thank,VVB
you,PNP
Carla,NP0
How,AVQ
was,VBD
yours,PNP
Carla,NP0
seemed,VVD
surprised,AJ0
by,PRP
my,DPS
sudden,AJ0
interest,NN1
in,PRP
her,DPS
personal,AJ0
Oh,ITJ
fine,AV0-AJ0
thank,VVB
you,PNP
I,PNP
went,VVD
to,PRP
Florence,NP0
to,TO0
do,VDI
the,AT0
Uffizi,NP0
I,PNP
smiled,VVD
a,AT0
smile,NN1
that,CJT-DT0
was,VBD
meant,VVN
to,TO0
signify,VVI
interest,NN1
in,PRP
