gardeners,NN2
world,NN1
bbc,NP0
advice,NN1
ideas,NN2
and,CJC
inspiration,NN1
from,PRP
your,DPS
bbc,NP0
experts,NN2
september,NP0
you,PNP
can,VM0
win,VVI
a,AT0
great,AJ0
new,AJ0
patio,NN1
pippa,NP0
wood,NP0
how,AVQ
to,TO0
cope,VVI
with,PRP
a,AT0
slope,NN1
bulbs,NN2
plant,VVB-NN1
now,AV0
for,PRP
spring,NN1
blooms,NN2
geoff,NP0
hamilton,NP0
weed,NN1
solution,NN1
autumn,NN1
on,PRP
display,NN1
how,AVQ
to,TO0
create,VVI
a,AT0
colourful,AJ0
show,NN1
of,PRF
late,AJ0
blooms,NN2
apples,NN2
our,DPS
pick,NN1
of,PRF
the,AT0
crop,NN1
bbc,NP0
gardeners,NN2
world,NN1
regulars,NN2
garden,NN1
news,NN1
dates,NN2
for,PRP
the,AT0
dairy,NN1
news,NN1
and,CJC
reviews,NN2
and,CJC
brand,NN1
new,AJ0
colourful,AJ0
seed,NN1
mixtures,NN2
for,PRP
you,PNP
to,TO0
try,VVI
for,PRP
free,AJ0
and,CJC
anyway,AV0
the,AT0
grass,NN1
is,VBZ
always,AV0
greener,AJC
when,CJS
people,NN0
have,VHB
tramped,VVN
across,PRP
your,DPS
lawn,NN1
reflects,VVZ
alan,NP0
titchmarsh,NP0-NN1
over,PRP
the,AT0
fence,NN1
share,VVB
your,DPS
gardening,NN1
views,NN2
and,CJC
stories,NN2
on,PRP
our,DPS
readers,NN2
letters,NN2
page,NN1-VVB
garden,NN1
clippins,NN2
we,PNP
take,VVB
a,AT0
peek,NN1
into,PRP
the,AT0
gardening,NN1
notebook,NN1
of,PRF
radio,NN1
richard,NP0
jackson,NP0
action,NN1-VVB
for,PRP
september,NP0
time,NN1
to,TO0
start,VVI
planning,VVG
ahead,AV0
be,VBB
prepared,VVN
and,CJC
follow,VVB
our,DPS
garden,NN1
schedule,NN1
next,ORD
month,NN1
our,DPS
october,NP0
overview,NN1
shows,VVZ
you,PNP
what,DTQ
in,PRP
store,NN1
in,PRP
next,ORD
month,NN1
magazine,NN1
readers,NN2
original,AJ0
gardening,NN1
tips,NN2-VVZ
has,VHZ
your,DPS
clever,AJ0
idea,NN1
won,VVN
a,AT0
cash,NN1
prize,NN1-VVB
this,DT0
month,NN1
turn,VVB-NN1
to,PRP
our,DPS
