Avoiding,VVG
gliding,NN1-AJ0
accidents,NN2
Gliding,VVG-NN1
safety,NN1
depends,VVZ
on,PRP
good,AJ0
training,NN1
and,CJC
on,PRP
instructors,NN2
encouraging,AJ0
novices,NN2
to,TO0
develop,VVI
habits,NN2
Most,DT0
accidents,NN2
occur,VVB
because,CJS
the,AT0
pilot,NN1
is,VBZ
unaware,AJ0
of,PRF
or,CJC
chooses,VVZ
to,TO0
ignore,VVI
possible,AJ0
hazards,NN2
Safety,NN1
must,VM0
be,VBI
everyone,PNI
concern,NN1
the,AT0
majority,NN1
of,PRF
accidents,NN2
could,VM0
be,VBI
avoided,VVN
if,CJS
every,AT0
pilot,NN1
is,VBZ
aware,AJ0
of,PRF
the,AT0
common,AJ0
hazards,NN2
Reading,NP0-NN1
or,CJC
hearing,NN1
of,PRF
other,AJ0
pilots,NN2
experiences,NN2
emphasises,VVZ
how,AVQ
easy,AJ0
it,PNP
is,VBZ
for,PRP
even,AV0
seasoned,AJ0
pilots,NN2
to,TO0
make,VVI
mistakes,NN2
Instructors,NN2
and,CJC
senior,AJ0
pilots,NN2
have,VHB
a,AT0
big,AJ0
responsibility,NN1
to,TO0
pass,VVI
on,AVP
their,DPS
experience,NN1
and,CJC
knowledge,NN1
and,CJC
to,TO0
look,VVI
out,AVP
for,PRP
poor,AJ0
airmanship,NN1
and,CJC
flying,AJ0-VVG
techniques,NN2
in,PRP
others,NN2
which,DTQ
could,VM0
lead,VVI
to,PRP
mishaps,NN2
in,PRP
the,AT0
future,NN1
In,PRP
section,NN1
I,PNP
have,VHB
chosen,VVN
various,AJ0
gliding,NN1
areas,NN2
which,DTQ
involve,VVB
special,AJ0
hazards,NN2
for,PRP
the,AT0
unwary,AJ0
and,CJC
have,VHB
suggested,VVN
how,AVQ
to,TO0
prevent,VVI
accidents,NN2
by,PRP
being,VBG
conscious,AJ0
of,PRF
potentially,AV0
difficult,AJ0
situations,NN2
How,AVQ
glider,NN1
accidents,NN2
happen,VVB
Considering,VVG
that,CJT
so,AV0
many,DT0
gliders,NN2
are,VBB
flown,VVN
across,PRP
country,NN1
on,PRP
every,AT0
possible,AJ0
soaring,AJ0
day,NN1
the,AT0
accident,NN1
rate,NN1
for,PRP
