Participant,NN1
Observation,NN1
of,PRF
Police,NN2
Practice,NN1
AN,AT0
ARM,NN1
OF,PRF
EXECUTIVE,NN1-AJ0
POWER,NN1
For,PRP
over,PRP
a,AT0
century,NN1
the,AT0
control,NN1
of,PRF
certain,AJ0
aspects,NN2
of,PRF
British,AJ0
social,AJ0
life,NN1
has,VHZ
rested,VVN
in,PRP
the,AT0
hands,NN2
of,PRF
the,AT0
police,NN2
forces,NN2
of,PRF
England,NP0
and,CJC
Wales,NP0
However,AV0
these,DT0
increasingly,AV0
centralized,VVN-AJ0
and,CJC
expensive,AJ0
units,NN2
only,AV0
enforce,VVB
control,NN1-VVB
over,PRP-AVP
a,AT0
very,AV0
narrow,AJ0
range,NN1
of,PRF
public,NN1-AJ0
or,CJC
street,NN1
visible,AJ0
acts,NN2
of,PRF
social,AJ0
disorder,NN1
This,DT0
system,NN1
of,PRF
power,NN1
and,CJC
control,NN1
has,VHZ
primarily,AV0
been,VBN
directed,VVN
towards,PRP
the,AT0
protection,NN1
of,PRF
property,NN1
and,CJC
to,TO0
prevent,VVI
assaults,NN2
on,PRP
the,AT0
individual,NN1-AJ0
but,CJC
only,AV0
in,PRP-AVP
very,AV0
specific,AJ0
situations,NN2
These,DT0
aims,NN2
have,VHB
gained,VVN
a,AT0
high,AJ0
symbolic,AJ0
place,NN1
in,PRP
the,AT0
public,AJ0-NN1
imagination,NN1
and,CJC
the,AT0
institution,NN1
has,VHZ
set,VVN
out,AVP
to,TO0
prevent,VVI
and,CJC
detect,VVI
acts,NN2
which,DTQ
are,VBB
usually,AV0
subsumed,VVN
under,PRP
a,AT0
generic,AJ0
but,CJC
simplistic,AJ0
classification,NN1
of,PRF
crime,NN1
To,PRP
a,AT0
less,AV0
immediately,AV0
visible,AJ0
extent,NN1
the,AT0
institution,NN1
of,PRF
policing,NN1
is,VBZ
also,AV0
set,VVN
up,AVP
to,TO0
control,VVI
those,DT0
who,PNQ
would,VM0
publicly,AV0
demonstrate,VVI
against,PRP
the,AT0
state,NN1
and,CJC
its,DPS
executive,NN1
powers,NN2
It,PNP
is,VBZ
in,PRP
relation,NN1
to,PRP
this,DT0
area,NN1
of,PRF
activity,NN1
that,CJT-DT0
recent,AJ0
moves,NN2
towards,PRP
systematic,AJ0
amalgamation,NN1
centralization,NN1
and,CJC
mutual,AJ0
aid,NN1
seem,VVB
to,TO0
have,VHI
been,VBN
made,VVN
Cohen,NP0
describes,VVZ
how,AVQ
at,PRP
specific,AJ0
times,NN2
certain,AJ0
public,AJ0-NN1
crimes,NN2
generate,VVB
moral,AJ0
panics,NN2
directed,VVN-VVD
at,PRP
folk,NN0
devils,NN2
or,CJC
scapegoat,NN1
groups,NN2
Pearson,NP0
further,AV0
showed,VVD
that,CJT
the,AT0
identification,NN1
of,PRF
these,DT0
groups,NN2
as,CJS-PRP
the,AT0
dangerous,AJ0
classes,NN2
manifests,VVZ
