CHAPTER,NN1
When,CJS
I,PNP
was,VBD
one,CRD-PNI
and,CJC
I,PNP
heard,VVD
a,AT0
wise,AJ0
man,NN1
say,VVB-NN1
Give,VVB
crowns,NN2
and,CJC
pounds,NN2
and,CJC
guineas,NN2
But,CJC
not,XX0
your,DPS
heart,NN1
away,AV0
and,CJC
Jay,NP0
was,VBD
given,VVN
to,PRP
Falling,VVG
in,PRP
Love,NN1
She,PNP
joked,VVD
that,CJT
it,PNP
was,VBD
her,DPS
favourite,AJ0-NN1
occupation,NN1
Usually,AV0
her,DPS
passion,NN1
was,VBD
an,AT0
explosion,NN1
of,PRF
ecstasy,NN1
at,PRP
a,AT0
face,NN1
a,AT0
voice,NN1
a,AT0
mannerism,NN1
usually,AV0
she,PNP
did,VDD
nothing,PNI
about,PRP
it,PNP
beyond,PRP
engineering,NN1
to,TO0
spend,VVI
time,NN1
in,PRP
The,AT0
Presence,NN1
Doing,VDG
anything,PNI
more,AV0
led,VVD
to,PRP
agony,NN1
sleepless,AJ0
nights,NN2
months,NN2
of,PRF
drinking,NN1-VVG
and,CJC
moping,VVG-AJ0
and,CJC
boring,VVG
her,DPS
closest,AJS
friends,NN2
to,PRP
death,NN1
Once,AV0
bitten,VVN
twice,AV0
brashly,AV0
armoured,AJ0-VVN
Not,XX0
Jay,NP0
I,PNP
have,VHB
been,VBN
savaged,VVN
by,PRP
love,NN1
she,PNP
would,VM0
declaim,VVI
when,CJS-AVQ
she,PNP
had,VHN
a,AT0
few,DT0
But,CJC
many,DT0
years,NN2
ago,AV0
a,AT0
wise,AJ0
old,AJ0
man,NN1
said,VVD
fall,NN1-VVB
in,PRP
love,NN1
and,CJC
you,PNP
may,VM0
fall,VVI
flat,NN1-AJ0
on,PRP
your,DPS
face,NN1
but,CJC
pick,VVB
yourself,PNX
up,AVP
and,CJC
rush,VVB-NN1
towards,PRP
the,AT0
next,ORD
one,PNI
knees,NN2
bleeding,VVG-AJ0
face,VVB-NN1
bruised,AJ0-VVN
arms,NN2
open,VVB
heart,NN1
on,PRP
fire,NN1
Dear,AJ0
Walter,NP0
the,AT0
art,NN1
teacher,NN1
gallant,AJ0
shouting,VVG-AJ0
bugger,NN1
in,PRP
class,NN1
casting,VVG
lofty,AJ0
pearls,NN2
to,PRP
the,AT0
of,PRF
disaffected,AJ0
teenagers,NN2
She,PNP
taken,VVN
him,PNP
literally,AV0
although,CJS
now,AV0
she,PNP
questioned,VVD
whether,CJS
that,DT0
had,VHD
been,VBN
wise,AJ0
Hollywood,NP0
stars,NN2
were,VBD
safe,AJ0
to,TO0
fall,VVI
in,PRP-AVP
love,NN1
with,PRP
dead,AJ0
or,CJC
a,AT0
dollars,NN2
away,AV0
Tennis,NN1-NP0
stars,NN2
People,NN0
at,PRP
bus,NN1
stops,VVZ
And,CJC
Jay,NP0
would,VM0
bathe,VVI
in,PRP-AVP
a,AT0
glow,NN1
of,PRF
wonder,NN1-VVB
that,CJT
another,DT0
human,AJ0
being,NN1
could,VM0
move,VVI
her,PNP
so,AV0
After,PRP
the,AT0
first,ORD
few,DT0
devastating,AJ0
she,PNP
was,VBD
warily,AV0
certain,AJ0
that,CJT
there,EX0
would,VM0
always,AV0
be,VBI
another,DT0
goddess,NN1
the,AT0
old,AJ0
idol,NN1
became,VVD
a,AT0
fond,AJ0
memory,NN1
like,PRP
a,AT0
photo,NN1
of,PRF
a,AT0
dear,AJ0
friend,NN1
long,AV0-AJ0
absent,AJ0
Once,AV0
in,PRP
love,NN1
always,AV0
loving,VVG-AJ0
Never,AV0
letting,VVG
go,VVI
of,PRF
that,DT0
feeling,NN1
even,AV0
when,CJS
the,AT0
of,PRF
In,PRP
Love,NN1
seemed,VVD
distant,AJ0
ludicrous,AJ0
incredible,AJ0
In,PRP
Love,NN1
again,AV0
the,AT0
new,AJ0
beloved,NN1
was,VBD
perfect,AJ0
and,CJC
miraculous,AJ0
Jay,NP0
swept,VVD
away,AV0
what,DTQ
she,PNP
had,VHD
learned,VVN
in,PRP
pain,NN1
about,PRP
feet,NN2
of,PRF
clay,NN1
and,CJC
natural,AJ0
caution,NN1
Her,DPS
heart,NN1
went,VVD
into,PRP
a,AT0
cartoon,NN1
clinch,NN1-VVB
Nothing,PNI
Else,AV0
Matters,VVZ-NN2
Lucy,NP0
was,VBD
different,AJ0
Jay,NP0
had,VHD
felt,VVN
fleeting,AJ0-VVG
sexual,AJ0
desire,NN1
when,CJS
they,PNP
first,ORD
met,VVD
in,PRP
the,AT0
corridor,NN1
where,AVQ
she,PNP
worked,VVD
a,AT0
tumbledown,NN1
rats,NN2
nest,NN1
in,PRP
East,NN1
London,NP0
A,AT0
pleasant,AJ0
surprise,NN1
so,AV0
early,AV0-AJ0
in,PRP
the,AT0
day,NN1
Lucy,NP0
had,VHD
style,NN1
from,PRP
hair,NN1
down,AVP
through,PRP
the,AT0
subtly,AV0
tailored,AJ0-VVN
suit,NN1
to,PRP
the,AT0
jaunty,AJ0
of,PRF
grey,AJ0
suede,NN1
A,AT0
designer,NN1
dyke,NN1
She,PNP
expected,VVD
Lucy,NP0
to,TO0
head,VVI
for,PRP
their,DPS
office,NN1
no,AT0
one,PNI
else,AV0
was,VBD
ever,AV0
in,AVP-PRP
before,PRP
noon,NN1
on,PRP
the,AT0
top,AJ0-NN1
floor,NN1
But,CJC
Lucy,NP0
smiled,VVD
distractedly,AV0
passed,VVD
her,PNP
leaving,VVG
a,AT0
scent,NN1
of,PRF
honeysuckle,NN1
and,CJC
spice,NN1-VVB
She,PNP
unlocked,VVD
the,AT0
next,ORD
room,NN1
which,DTQ
had,VHD
stood,VVN
empty,AJ0
for,PRP
months,NN2
We,PNP
have,VHB
neighbours,NN2
she,PNP
told,VVD
Francis,NP0
her,DPS
coworker,NN1
Nice,AJ0-AV0
he,PNP
drawled,VVD
Any,DT0
trade,NN1
A,AT0
very,AV0
respectable,AJ0
looking,AJ0-VVG
lady,NN1
dear,ITJ
she,PNP
said,VVD
wearing,VVG
a,AT0
dollar,NN1
perfume,NN1
Is,VBZ
that,DT0
all,DT0
Mm,ITJ
Better,AV0
make,VVI
her,DPS
coffee,NN1
darling,NN1
he,PNP
said,VVD
You,PNP
never,AV0
know,VVB
Somehow,AV0
among,PRP
the,AT0
chaos,NN1
of,PRF
coffee,NN1
cups,NN2-VVZ
and,CJC
a,AT0
snowstorm,NN1
of,PRF
phonecalls,NN2
and,CJC
paper,NN1
she,PNP
and,CJC
Francis,NP0
and,CJC
a,AT0
cheerfully,AV0
unreliable,AJ0
string,NN1
of,PRF
volunteers,NN2
threw,VVD
together,AV0
every,AT0
month,NN1
a,AT0
gay,AJ0
arts,NN2
magazine,NN1
A,AT0
lot,NN1
of,PRF
women,NN2
put,VVD
her,PNP
down,AVP
for,PRP
working,VVG
with,PRP
a,AT0
man,NN1
especially,AV0
one,CRD-PNI
like,PRP
Francis,NP0
camp,NN1
as,CJS
Christmas,NN1
in,PRP
Tangiers,NP0
a,AT0
slow,AJ0
fuse,NN1
of,PRF
lasciviousness,NN1
smouldered,VVD
in,PRP-AVP
every,AT0
phrase,NN1
But,CJC
he,PNP
made,VVD
her,DPS
laugh,NN1-VVB
and,CJC
worked,VVD-VVN
like,PRP
hell,NN1
for,PRP
peanuts,NN2
His,DPS
favourite,AJ0-NN1
topics,NN2
were,VBD
sex,NN1
and,CJC
sex,NN1
and,CJC
he,PNP
had,VHD
repeated,VVN
himself,PNX
once,AV0
in,PRP
years,NN2
Jay,NP0
giggled,VVD
along,AVP
with,PRP
him,PNP
they,PNP
cried,VVD
on,PRP
each,DT0
other,NN1
shoulders,NN2
and,CJC
every,AT0
week,NN1
or,CJC
so,AV0
over,PRP-AVP
cocktails,NN2
swore,VVD
to,TO0
marry,VVI
each,DT0
other,NN1
She,PNP
made,VVD
coffee,NN1
flicked,VVD
a,AT0
V,ZZ0
sign,VVB-NN1
at,PRP
Francis,NP0
suggestive,AJ0
tongue,NN1
and,CJC
knocked,VVD-VVN
on,PRP
Lucy,NP0
door,NN1
The,AT0
room,NN1
was,VBD
bare,AJ0
and,CJC
filthy,AJ0
an,AT0
unfurnished,AJ0
twin,NN1
to,PRP
theirs,PNP
Raddled,AJ0
nets,NN2
trailed,VVD
at,PRP
grey,AJ0
flakes,NN2
of,PRF
plaster,NN1
flecked,VVD
the,AT0
bare,AJ0
boards,NN2
newsprint,NN1
with,PRP
age,NN1
scrunched,VVN-VVD
at,PRP
her,DPS
feet,NN2
Lucy,NP0
looked,VVD
very,AV0
small,AJ0
and,CJC
determined,AJ0-VVN
and,CJC
was,VBD
making,VVG
a,AT0
list,NN1
Thought,VVD
you,PNP
like,VVI
some,DT0
coffee,NN1
Jay,NP0
said,VVD
This,DT0
place,NN1
is,VBZ
so,AV0
bleak,AJ0
I,PNP
Jay,NP0
We,PNP
next,ORD
door,NN1
That,DT0
kind,NN1-AJ0
I,PNP
Lucy,NP0
said,VVD
Lucy,NP0
In,PRP
fact,NN1
do,VDB
come,VVI
and,CJC
have,VHI
a,AT0
seat,NN1
said,VVD
Jay,NP0
I,PNP
think,VVB
I,PNP
will,VM0
said,VVD
Lucy,NP0
I,PNP
did,VDD
realise,VVI
quite,AV0
how,AVQ
bad,AJ0
it,PNP
would,VM0
be,VBI
Francis,NP0
this,DT0
is,VBZ
Lucy,NP0
she,PNP
said,VVD
Lovely,AJ0
to,TO0
meet,VVI
you,PNP
darling,NN1
Toss,VVB
aside,AV0
those,DT0
masterpieces,NN2
of,PRF
illiteracy,NN1
and,CJC
have,VHB
a,AT0
chair,NN1
he,PNP
said,VVD
Welcome,VVB
to,TO0
pervert,VVI
posers,NN2
anonymous,AJ0
What,DTQ
do,VDB
you,PNP
do,VDI
We,PNP
an,AT0
ecology,NN1
magazine,NN1
said,VVD
Lucy,NP0
I,PNP
edit,VVB
Ca,VM0
write,VVI
can,VM0
spell,VVI
Oh,ITJ
good,AJ0
said,VVD
Francis,NP0
from,PRP
the,AT0
heart,NN1
I,PNP
ever,AV0
so,AV0
