USING,VVG
THE,AT0
RULES,NN2
TO,TO0
HELP,VVI
YOU,PNP
WIN,VVI
It,PNP
is,VBZ
surprising,AJ0-VVG
how,AVQ
many,DT0
people,NN0
take,VVB
part,NN1
in,PRP
competition,NN1
without,PRP
knowing,VVG
the,AT0
rules,NN2
even,AV0
at,PRP
élite,NN1-AJ0
level,NN1
This,DT0
chapter,NN1
will,VM0
examine,VVI
the,AT0
rules,NN2
of,PRF
competition,NN1
from,PRP
the,AT0
competitors,NN2
point,NN1
of,PRF
view,NN1
rather,AV0
than,CJS
from,PRP
the,AT0
referees,NN2
It,PNP
will,VM0
show,VVI
how,AVQ
a,AT0
knowledge,NN1
of,PRF
the,AT0
rules,NN2
can,VM0
be,VBI
used,VVN
to,TO0
help,VVI
your,DPS
tournament,NN1
training,NN1
by,PRP
outlining,VVG
the,AT0
following,AJ0
the,AT0
kind,NN1
of,PRF
fitness,NN1
requirements,NN2
you,PNP
need,VVB
the,AT0
most,AV0
often,AV0
scored,VVN-VVD
techniques,NN2
explaining,VVG
why,AVQ
they,PNP
scored,VVD
why,AVQ
techniques,NN2
failed,VVD-VVN
to,TO0
score,VVI
when,CJS
you,PNP
felt,VVD
they,PNP
should,VM0
have,VHI
how,AVQ
injuries,NN2
are,VBB
dealt,VVN
with,PRP
how,AVQ
to,TO0
ensure,VVI
that,CJT
any,DT0
complaint,NN1
you,PNP
make,VVB
is,VBZ
correctly,AV0
dealt,VVN
with,PRP
The,AT0
competition,NN1
area,NN1
In,PRP
principle,NN1
this,DT0
is,VBZ
8m,NN0
x,PRP
8m,NN0
x,PRP
but,CJC
in,PRP
practice,NN1
it,PNP
may,VM0
shrink,VVI
to,PRP
only,AV0-AJ0
7m,NN0
x,PRP
7m,NN0
x,PRP
in,PRP
order,NN1
to,TO0
fit,VVI
enough,DT0
areas,NN2
in,PRP
the,AT0
available,AJ0
space,NN1
Many,DT0
tournament,NN1
organisers,NN2
miscalculate,VVB-NN1
entry,NN1
levels,NN2
with,PRP
the,AT0
result,NN1
that,CJT-DT0
adjacent,AJ0
areas,NN2
are,VBB
crowded,VVN-AJ0
together,AV0
and,CJC
the,AT0
competitors,NN2
safety,NN1
is,VBZ
imperilled,VVN
Often,AV0
the,AT0
zone,NN1
is,VBZ
missing,VVG-AJ0
This,DT0
is,VBZ
a,AT0
metre,NN1
band,NN1
marked,VVN
inside,PRP
the,AT0
outer,AJ0
perimeter,NN1
It,PNP
is,VBZ
