The,AT0
News,NN1
Thin,AJ0
blue,AJ0
smoke,NN1
poured,VVD-VVN
straight,AV0
up,AVP
from,PRP
the,AT0
freshly,AV0
mortared,AJ0-VVD
chimney,NN1
of,PRF
the,AT0
McCullochs,NP0
house,NN1
in,PRP
Weem,NP0-NN1
It,PNP
tinged,VVD
the,AT0
air,NN1
with,PRP
a,AT0
smell,NN1
of,PRF
herbs,NN2
and,CJC
whisky,NN1
Old,AJ0
Donald,NP0
had,VHD
put,VVN
more,DT0
peats,NN2
on,PRP
the,AT0
fire,NN1
His,DPS
daughter,NN1
Mary,NP0
said,VVD
it,PNP
was,VBD
all,AV0
he,PNP
was,VBD
good,AJ0
for,PRP
using,VVG
up,AVP
fuel,NN1
that,CJT
others,NN2
had,VHD
cut,VVN
She,PNP
was,VBD
a,AT0
scold,NN1-VVB
whenever,AVQ
she,PNP
was,VBD
near,PRP
him,PNP
he,PNP
felt,VVD
in,PRP
the,AT0
wrong,AJ0
and,CJC
wondered,VVD
anxiously,AV0
what,DTQ
it,PNP
was,VBD
he,PNP
ought,VM0
to,TO0
have,VHI
done,VDN
But,CJC
between,PRP
them,PNP
he,PNP
told,VVD
himself,PNX
they,PNP
had,VHD
made,VVN
this,DT0
nest,NN1
comfortable,AJ0
He,PNP
looked,VVD
up,AVP
with,PRP
satisfaction,NN1
at,PRP
the,AT0
panelling,NN1
of,PRF
the,AT0
new,AJ0
comfort,VVB-NN1
and,CJC
decency,NN1
for,PRP
all,DT0
of,PRF
them,PNP
while,CJS
others,NN2
in,PRP
the,AT0
village,NN1
still,AV0
slept,VVD-VVN
on,PRP
the,AT0
floor,NN1
like,PRP
beasts,NN2
And,CJC
the,AT0
stone,NN1
seats,NN2
beside,PRP
the,AT0
fire,NN1
would,VM0
be,VBI
replaced,VVN
with,PRP
benches,NN2
once,CJS
Cameron,NP0
brought,VVD
the,AT0
rest,NN1
of,PRF
the,AT0
spare,AJ0
timber,NN1
he,PNP
had,VHD
promised,VVN
from,PRP
the,AT0
linen,NN1
mill,NN1
he,PNP
was,VBD
building,VVG
for,PRP
the,AT0
Flemyngs,NN2
at,PRP
Aberfeldy,NP0
Cameron,NP0
made,VVD
him,PNP
uneasy,AJ0
with,PRP
his,DPS
dark,NN1
