the,AT0
making,NN1
of,PRF
a,AT0
wordsmith,NN1
children,NN2
show,VVB-NN1
scars,NN2-VVZ
like,PRP
medals,NN2
lovers,NN2
use,VVB
them,PNP
as,PRP
secrets,NN2
to,TO0
reveal,VVI
a,AT0
scar,NN1
is,VBZ
what,DTQ
happens,VVZ
when,CJS
the,AT0
word,NN1
is,VBZ
made,VVN
flesh,NN1
leonard,NP0
cohen,NP0
if,CJS
i,PNP
do,VDB
not,XX0
utter,VVI
a,AT0
word,NN1
i,PNP
am,VBB
its,DPS
master,NN1
once,AV0
i,PNP
utter,VVB
it,PNP
i,PNP
am,VBB
its,DPS
slave,NN1
ian,NP0
gabriol,NP0-NN1
all,DT0
my,DPS
work,NN1
is,VBZ
the,AT0
evidence,NN1
of,PRF
a,AT0
life,NN1
and,CJC
not,XX0
the,AT0
life,NN1
itself,PNX
leonard,NP0
cohen,NP0
the,AT0
man,NN1
in,PRP
question,NN1
some,DT0
people,NN0
impress,VVB
by,PRP
what,DTQ
they,PNP
do,VDB
others,NN2
by,PRP
what,DTQ
they,PNP
say,VVB
yet,AV0
others,NN2
by,PRP
what,DTQ
they,PNP
are,VBB
the,AT0
last,ORD
is,VBZ
always,AV0
the,AT0
more,AV0
interesting,AJ0
type,NN1
not,XX0
infrequently,AV0
he,PNP
or,CJC
she,PNP
is,VBZ
an,AT0
impressive,AJ0
doer,NN1
sometimes,AV0
an,AT0
eloquent,AJ0
speaker,NN1
some,DT0
very,AV0
few,DT0
are,VBB
both,DT0
leonard,NP0
cohen,NP0
is,VBZ
one,PNI-CRD
but,CJC
in,PRP
his,DPS
own,DT0
inimitable,AJ0
way,NN1
we,PNP
first,ORD
met,VVD
him,PNP
at,PRP
an,AT0
elegant,AJ0
hotel,NN1
in,PRP
the,AT0
uptown,AJ0
district,NN1
of,PRF
manhattan,NP0
new,NP0
york,NP0
overlooking,VVG
central,AJ0
park,NN1
a,AT0
watering,NN1
place,NN1-VVB
well,AV0
known,VVN
to,PRP
artists,NN2
joe,NP0
cocker,NP0
also,AV0
happened,VVD
to,TO0
be,VBI
in,PRP
residence,NN1
at,PRP
the,AT0
time,NN1
we,PNP
had,VHD
travelled,VVN
over,AV0
miles,NN2
to,TO0
see,VVI
him,PNP
from,PRP
greece,NP0
to,PRP
new,NP0
york,NP0
via,PRP
edinburgh,NP0
thence,AV0
to,PRP
los,NP0
angeles,NP0
via,PRP
nashville,NP0
and,CJC
back,AVP
to,PRP
new,NP0
york,NP0
via,PRP
salt,NP0
lake,NP0
city,NN1
and,CJC
chicago,NP0
it,PNP
was,VBD
worth,PRP
every,AT0
mile,NN1
and,CJC
somehow,AV0
the,AT0
travelling,NN1
was,VBD
particularly,AV0
appropriate,AJ0
for,CJS
he,PNP
is,VBZ
himself,PNX
a,AT0
travelling,NN1-AJ0
man,NN1
at,PRP
home,NN1
everywhere,AV0
and,CJC
nowhere,AV0
he,PNP
is,VBZ
of,PRF
nature,NN1
gentlemen,NN2
aware,AJ0
of,PRF
the,AT0
distances,NN2
we,PNP
had,VHD
covered,VVN
aware,AJ0
too,AV0
of,PRF
the,AT0
reason,NN1
for,PRP
our,DPS
travels,NN2
this,DT0
book,NN1
and,CJC
our,DPS
interest,NN1
in,PRP
his,DPS
deeper,AJC
self,NN1
though,CJS
far,AV0
from,PRP
eager,AJ0
indeed,AV0
alarmed,VVN-VVD
by,PRP
it,PNP
he,PNP
nevertheless,AV0
agreed,VVD
to,TO0
meet,VVI
a,AT0
moment,NN1
of,PRF
dual,AJ0
appraisal,NN1
several,DT0
cups,NN2
of,PRF
coffee,NN1
later,AV0
and,CJC
many,DT0
cigarettes,NN2
not,XX0
to,TO0
speak,VVI
of,PRF
his,DPS
midday,NN1
repast,NN1
a,AT0
small,AJ0
bowl,NN1
of,PRF
rice,NN1
crispies,NN2
a,AT0
suitable,AJ0
delicacy,NN1
given,VVN
his,DPS
previous,AJ0
late,AJ0
night,NN1
explorative,AJ0
jazz,NN1
session,NN1
with,PRP
sonny,NP0
rollins,NP0
and,CJC
the,AT0
group,NN1
was,VBD
not,XX0
was,VBD
later,AJC
he,PNP
kindly,AV0
consented,VVD
to,PRP
our,DPS
task,NN1
the,AT0
victim,NN1
was,VBD
ours,PNP
he,PNP
left,VVD
town,NN1
the,AT0
next,ORD
morning,NN1
for,PRP
montreal,NP0
where,AVQ
he,PNP
feels,VVZ
most,AV0
at,PRP
home,NN1
our,DPS
plan,NN1
was,VBD
to,TO0
meet,VVI
there,AV0
in,PRP
a,AT0
few,DT0
days,NN2
time,NN1
once,CJS
our,DPS
researches,NN2
in,PRP
new,NP0
york,NP0
were,VBD
concluded,VVN
these,DT0
were,VBD
now,AV0
more,AV0
eagerly,AV0
undertaken,VVN
and,CJC
soon,AV0
completed,VVN
thanks,NN2
not,XX0
least,AV0
to,PRP
the,AT0
good,AJ0
offices,NN2
of,PRF
his,DPS
very,AV0
able,AJ0
assistant,NN1
kelley,NP0
lynch,NP0
and,CJC
his,DPS
unofficial,AJ0
archivist,NN1
robert,NP0
bower,NP0
a,AT0
few,DT0
days,NN2
later,AV0
after,CJS
we,PNP
had,VHD
established,VVN
ourselves,PNX
in,PRP
montreal,NP0
we,PNP
called,VVD
him,PNP
mr,NP0
cohen,NP0
we,PNP
asked,VVD
in,PRP
response,NN1
to,PRP
the,AT0
hello,ITJ
at,PRP
the,AT0
other,AJ0
end,NN1
of,PRF
the,AT0
telephone,NN1
yes,ITJ
came,VVD
the,AT0
unmistakable,AJ0
reply,NN1
we,PNP
reintroduced,VVD
ourselves,PNX
as,CJS
before,AV0
he,PNP
was,VBD
concerned,AJ0
to,TO0
hear,VVI
that,CJT
we,PNP
had,VHD
enjoyed,VVN
a,AT0
good,AJ0
flight,NN1
to,PRP
his,DPS
native,AJ0
city,NN1
had,VHD
found,VVN
a,AT0
good,AJ0
hotel,NN1
and,CJC
that,CJT
we,PNP
were,VBD
managing,VVG-AJ0
to,TO0
survive,VVI
the,AT0
bitter,AJ0
cold,NN1
the,AT0
snow,NN1
and,CJC
the,AT0
ice,NN1
of,PRF
a,AT0
canadian,AJ0
winter,NN1
one,PNI
could,VM0
never,AV0
have,VHI
guessed,VVN
from,PRP
his,DPS
enquiries,NN2
that,CJT
the,AT0
matter,NN1
was,VBD
somewhat,AV0
uncongenial,AJ0
to,PRP
him,PNP
it,PNP
was,VBD
an,AT0
ambition,NN1
come,VVB
true,AJ0
we,PNP
were,VBD
now,AV0
face,NN1
to,PRP
face,NN1
with,PRP
this,DT0
man,NN1
of,PRF
diverse,AJ0
talent,NN1
poet,NN1
novelist,NN1
performer,NN1
after,PRP
following,VVG
his,DPS
career,NN1
for,PRP
nearly,AV0
decades,NN2
reading,VVG
his,DPS
books,NN2
playing,VVG
his,DPS
records,NN2
watching,VVG
him,PNP
sing,VVB
reading,NN1-VVG
of,PRF
him,PNP
through,PRP
the,AT0
eyes,NN2
of,PRF
his,DPS
critics,NN2
no,AT0
easy,AJ0
feat,NN1
when,CJS-AVQ
one,PNI
is,VBZ
not,XX0
inhibited,VVN
by,PRP
astigmatism,NN1
there,EX0
is,VBZ
no,AT0
side,NN1
to,PRP
him,PNP
he,PNP
who,PNQ
had,VHD
performed,VVN
for,PRP
royalty,NN1
dined,VVN-VVD
with,PRP
national,AJ0
presidents,NN2
rubbed,VVD
shoulders,NN2
with,PRP
the,AT0
greatest,AJS
names,NN2
in,PRP
the,AT0
world,NN1
of,PRF
art,NN1
and,CJC
theatre,NN1
film,NN1
and,CJC
music,NN1
became,VVD
a,AT0
delightful,AJ0
companion,NN1
and,CJC
it,PNP
was,VBD
never,AV0
absent,AJ0
a,AT0
solicitous,AJ0
host,NN1
the,AT0
or,CJC
so,AV0
hours,NN2
he,PNP
put,VVD
at,PRP
our,DPS
disposal,NN1
fled,VVD-VVN
by,AVP-PRP
our,DPS
questions,NN2
ranged,VVD-VVN
far,AJ0-AV0
and,CJC
wide,AJ0
and,CJC
his,DPS
courtesy,NN1
and,CJC
patience,NN1
turned,VVD
them,PNP
into,PRP
an,AT0
intriguing,AJ0
trail,NN1
of,PRF
discovery,NN1
which,DTQ
was,VBD
endlessly,AV0
fascinating,AJ0
and,CJC
richly,AV0
rewarding,AJ0-VVG
for,CJS
he,PNP
is,VBZ
also,AV0
a,AT0
natural,AJ0
raconteur,NN1
when,CJS
he,PNP
commits,VVZ
himself,PNX
to,PRP
an,AT0
assignment,NN1
be,VBI
it,PNP
a,AT0
poem,NN1
a,AT0
book,NN1
a,AT0
song,NN1
or,CJC
merely,AV0
aiding,VVG
a,AT0
itch,NN1
he,PNP
does,VDZ
it,PNP
with,PRP
gusto,NN1
con,UNC
brio,UNC
as,CJS
he,PNP
might,VM0
annotate,VVI
of,PRF
his,DPS
scores,NN2
our,DPS
second,ORD
meeting,NN1
once,CJS
the,AT0
regulative,AJ0
café,NN1
au,NN0
lait,UNC
had,VHD
been,VBN
taken,VVN
and,CJC
a,AT0
strenuous,AJ0
hours,NN2
of,PRF
talk,NN1
had,VHD
been,VBN
put,VVN
behind,PRP
us,PNP
was,VBD
concluded,VVN
by,PRP
a,AT0
guided,AJ0
tour,NN1
of,PRF
his,DPS
beloved,AJ0
montreal,NP0
whose,DTQ
allurements,NN2
were,VBD
enthusiastically,AV0
described,VVN
in,PRP
a,AT0
car,NN1
hired,VVN-VVD
for,PRP
the,AT0
occasion,NN1
and,CJC
concluded,VVN
by,PRP
a,AT0
celebratory,AJ0
meal,NN1
at,PRP
of,PRF
his,DPS
favourite,AJ0-NN1
indian,AJ0
restaurants,NN2
toasting,VVG
each,DT0
other,NN1
health,NN1
and,CJC
futures,NN2
in,PRP
an,AT0
excellent,AJ0
chablis,NP0
leonard,NP0
cohen,NP0
is,VBZ
a,AT0
man,NN1
of,PRF
medium,AJ0-NN1
height,NN1
cm,NN0
lean,VVB
with,PRP
a,AT0
rugged,AJ0
face,NN1
he,PNP
looks,VVZ
like,PRP
a,AT0
man,NN1
who,PNQ
should,VM0
be,VBI
heavier,AJC
than,CJS
he,PNP
is,VBZ
and,CJC
one,PNI
soon,AV0
realises,VVZ
that,CJT
an,AT0
iron,NN1
discipline,NN1
keeps,VVZ
it,PNP
that,DT0
way,NN1
he,PNP
enjoys,VVZ
his,DPS
food,NN1
and,CJC
wine,NN1
but,CJC
disallows,VVZ
its,DPS
enjoyment,NN1
to,TO0
distort,VVI
the,AT0
image,NN1
which,DTQ
is,VBZ
important,AJ0
chiefly,AV0
to,PRP
himself,PNX
and,CJC
then,AV0
to,PRP
his,DPS
public,NN1
he,PNP
is,VBZ
frequently,AV0
described,VVN
as,CJS
having,VHG
the,AT0
stoop,NN1
of,PRF
an,AT0
ageing,AJ0
and,CJC
the,AT0
face,NN1
of,PRF
a,AT0
curious,AJ0
little,AJ0
boy,NN1
which,DTQ
may,VM0
have,VHI
been,VBN
true,AJ0
years,NN2
ago,AV0
but,CJC
now,AV0
belongs,VVZ
to,PRP
the,AT0
with,PRP
other,AJ0
caricatures,NN2
caricatures,NN2
as,CJS
oscar,NP0
wilde,NP0
observed,VVD
are,VBB
compliments,NN2
that,CJT-DT0
mediocrity,NN1
pays,VVZ
to,PRP
genius,NN1
greying,VVG
a,AT0
little,AV0
at,PRP
the,AT0
temples,NN2
leonard,NP0
unconsciously,AV0
confirms,VVZ
why,AVQ
he,PNP
is,VBZ
labelled,VVN
of,PRF
