nudists,NN2
may,VM0
be,VBI
encountered,VVN
what,DTQ
went,VVD
with,PRP
what,DTQ
who,PNQ
was,VBD
she,PNP
today,AV0
and,CJC
why,AVQ
naked,AJ0
julia,NP0
stretched,VVD
under,PRP
the,AT0
sheet,NN1
stretched,VVD
so,AV0
hard,AV0
she,PNP
pulled,VVD
her,DPS
stomach,NN1
muscles,NN2
to,PRP
their,DPS
full,AJ0
length,NN1
with,PRP
each,DT0
day,NN1
she,PNP
spent,VVD
in,PRP
the,AT0
sun,NN1
these,DT0
crucial,AJ0
questions,NN2
mattered,VVD-VVN
less,AV0
each,DT0
evening,NN1
arriving,VVG
at,PRP
a,AT0
new,AJ0
hotel,NN1
she,PNP
carried,VVD
from,PRP
the,AT0
car,NN1
suitcase,NN1
shoulder,NN1
bag,NN1
a,AT0
striped,AJ0
beach,NN1
bag,NN1
and,CJC
a,AT0
guernsey,NP0-NN1
knotted,VVD
round,AVP-PRP
her,DPS
shoulders,NN2
each,DT0
morning,NN1
she,PNP
opened,VVD
all,DT0
her,DPS
luggage,NN1
looked,VVD
at,PRP
the,AT0
shirts,NN2
and,CJC
dresses,NN2
and,CJC
pairs,NN2
of,PRF
trousers,NN2
felt,VVD
a,AT0
moment,NN1
regret,NN1
for,PRP
a,AT0
favourite,AJ0
red,AJ0-NN1
silk,NN1
blouse,NN1
before,PRP
choosing,VVG
either,AV0
the,AT0
cotton,NN1
shorts,NN2
and,CJC
the,AT0
yellow,AJ0
tee,NN1
shirt,NN1
or,CJC
the,AT0
denim,NN1
shorts,NN2
and,CJC
the,AT0
pink,AJ0
top,NN1
sometimes,AV0
she,PNP
walked,VVD
miles,NN2
along,PRP
the,AT0
clifftops,NN2
taking,VVG
no,AT0
notice,NN1
of,PRF
the,AT0
scenery,NN1
sometimes,AV0
she,PNP
stopped,VVD
for,PRP
hours,NN2
to,TO0
gaze,VVI
across,PRP
the,AT0
sea,NN1
to,TO0
peer,VVI
between,PRP
rocks,NN2
to,TO0
watch,VVI
an,AT0
osprey,NN0
ride,VVB
the,AT0
thermals,NN2
sometimes,AV0
she,PNP
ran,VVD
through,PRP
the,AT0
rare,AJ0
rain,NN1
or,CJC
to,TO0
feel,VVI
the,AT0
wind,NN1
on,PRP
her,DPS
face,NN1
it,PNP
was,VBD
a,AT0
just,AV0-AJ0
over,AV0
a,AT0
week,NN1
since,CJS
she,PNP
had,VHD
first,ORD
set,VVN
foot,NN1
on,PRP
the,AT0
dorset,NP0
coast,NN1
path,NN1
each,DT0
night,NN1
she,PNP
spoke,VVD
to,PRP
a,AT0
waiter,NN1
to,TO0
order,VVI
a,AT0
meal,NN1
each,DT0
morning,NN1
she,PNP
asked,VVD
for,PRP
boiled,AJ0-VVN
rather,AV0
than,CJS
scrambled,AJ0
eggs,NN2
for,PRP
breakfast,NN1
otherwise,AV0
she,PNP
could,VM0
not,XX0
remember,VVI
when,AVQ
she,PNP
had,VHD
last,ORD
spoken,VVN
to,PRP
anyone,PNI
there,EX0
was,VBD
only,AV0
the,AT0
sun,NN1
the,AT0
seaweed,NN1
the,AT0
feel,NN1
of,PRF
pebbles,NN2
sand,NN1
or,CJC
shingle,NN1
under,PRP
her,DPS
feet,NN2
and,CJC
a,AT0
night,NN1
asleep,AJ0
in,PRP
a,AT0
hotel,NN1
room,NN1
so,AV0
it,PNP
was,VBD
a,AT0
shock,NN1
this,DT0
morning,NN1
after,PRP
miles,NN2
of,PRF
deserted,AJ0
sands,NN2
to,TO0
come,VVI
into,PRP
a,AT0
small,AJ0
crowded,AJ0
bay,NN1
to,TO0
see,VVI
buckets,NN2
and,CJC
spades,NN2
and,CJC
sandcastles,NN2-VVZ
a,AT0
parade,NN1
of,PRF
shops,NN2
with,PRP
fishing,NN1
nets,NN2
and,CJC
beach,NN1-VVB
balls,NN2
and,CJC
to,TO0
return,VVI
to,PRP
a,AT0
world,NN1
of,PRF
people,NN0
she,PNP
picked,VVD
her,DPS
way,NN1
between,PRP
them,PNP
treading,VVG
with,PRP
care,NN1
so,AV0
as,CJS
not,XX0
to,TO0
shower,VVI
things,NN2
with,PRP
sand,NN1
a,AT0
woman,NN1
she,PNP
passed,VVD
was,VBD
telling,VVG
her,DPS
husband,NN1
to,TO0
put,VVI
on,PRP-AVP
his,DPS
shirt,NN1
or,CJC
he,PNP
would,VM0
bum,NN1
she,PNP
watched,VVD
a,AT0
wet,AJ0
swimsuit,NN1
twisted,VVN-VVD
from,PRP
the,AT0
body,NN1
of,PRF
a,AT0
screaming,AJ0
toddler,NN1
and,CJC
a,AT0
beach,NN1
towel,NN1
making,VVG
freakish,AJ0
shapes,NN2
as,PRP
the,AT0
woman,NN1
under,PRP
it,PNP
changed,VVD
julia,NP0
turned,VVD
away,AV0
from,PRP
the,AT0
sea,NN1
stepped,VVN-VVD
from,PRP
sand,NN1
onto,PRP
concrete,NN1-AJ0
and,CJC
settled,VVD
herself,PNX
at,PRP
a,AT0
terrace,NN1
table,NN1
outside,PRP
a,AT0
café,NN1
she,PNP
ordered,VVD
a,AT0
pot,NN1
of,PRF
tea,NN1
for,PRP
one,PNI-CRD
she,PNP
put,VVD
on,PRP-AVP
her,DPS
sunglasses,NN2
to,TO0
decrease,VVI
her,DPS
visibility,NN1
but,CJC
she,PNP
could,VM0
still,AV0
see,VVI
something,PNI
of,PRF
herself,PNX
brown,AJ0
knees,NN2
frayed,AJ0
what,DTQ
kind,NN1
of,PRF
statement,NN1
did,VDD
she,PNP
think,VVI
she,PNP
made,VVD
it,PNP
was,VBD
certainly,AV0
not,XX0
of,PRF
the,AT0
many,DT0
studied,AJ0
effects,NN2
which,DTQ
paul,NP0
had,VHD
variously,AV0
condemned,VVN
as,CJS
ludicrous,AJ0
over,PRP
the,AT0
top,NN1-AJ0
outrageous,AJ0
dingy,AJ0
or,CJC
most,AV0
damaging,AJ0
of,PRF
all,DT0
silly,AJ0
how,AVQ
often,AV0
had,VHD
this,DT0
meant,VVN
an,AT0
edgy,AJ0
evening,NN1
when,AVQ
she,PNP
had,VHD
been,VBN
unable,AJ0
to,TO0
concentrate,VVI
on,PRP
what,DTQ
people,NN0
were,VBD
saying,VVG
because,CJS
of,PRF
an,AT0
fabric,NN1
rose,NN1
or,CJC
an,AT0
antique,AJ0-NN1
shawl,NN1
sometimes,AV0
she,PNP
was,VBD
so,AV0
brought,VVN
down,AVP
by,PRP
of,PRF
his,DPS
pronouncements,NN2
that,CJT
she,PNP
had,VHD
to,TO0
change,VVI
completely,AV0
and,CJC
then,AV0
because,CJS
her,DPS
first,ORD
effort,NN1
had,VHD
been,VBN
wrong,AJ0-AV0
it,PNP
was,VBD
hard,AJ0
to,TO0
know,VVI
now,AV0
if,CJS
or,CJC
when,AVQ-CJS
she,PNP
was,VBD
ready,AJ0-AV0
paul,NP0
what,DTQ
do,VDB
you,PNP
think,VVI
of,PRF
this,DT0
is,VBZ
it,PNP
all,AV0
right,AV0
of,PRF
course,NN1
it,PNP
is,VBZ
how,AVQ
much,AV0
longer,AJC
are,VBB
you,PNP
going,VVG
to,TO0
be,VBI
anyway,AV0
no,AT0
one,PNI
will,VM0
notice,VVI
that,DT0
always,AV0
made,VVD-VVN
her,DPS
reach,NN1-VVB
in,PRP
agitation,NN1
for,PRP
something,PNI
else,AV0
so,AV0
that,CJT
when,CJS
they,PNP
finally,AV0
set,VVD
off,AVP
she,PNP
was,VBD
already,AV0
exhausted,VVN-AJ0
and,CJC
paul,NP0
was,VBD
angry,AJ0
and,CJC
full,AJ0
of,PRF
contempt,NN1
you,PNP
know,VVB
how,AVQ
it,PNP
is,VBZ
he,PNP
would,VM0
say,VVI
to,PRP
their,DPS
hosts,NN2
on,PRP
the,AT0
pretext,NN1
of,PRF
apologising,VVG
for,PRP
arriving,VVG
late,AV0-AJ0
she,PNP
could,VM0
find,VVI
a,AT0
thing,NN1
to,TO0
wear,VVI
you,PNP
should,VM0
see,VVI
the,AT0
state,NN1
of,PRF
the,AT0
bedroom,NN1
it,PNP
took,VVD
her,DPS
hours,NN2
to,TO0
come,VVI
up,AVP
with,PRP
that,DT0
you,PNP
look,VVB
lovely,AJ0-NN1
whatever,DTQ
you,PNP
wear,VVB
julia,NP0
someone,PNI
would,VM0
say,VVI
it,PNP
turned,VVD
out,AVP
paul,NP0
had,VHD
been,VBN
wrong,AJ0-AV0
the,AT0
fact,NN1
was,VBD
that,CJT
she,PNP
had,VHD
achieved,VVN
