alcohol,NN1
in,PRP
the,AT0
workplace,NN1
a,AT0
guide,NN1-VVB
for,PRP
employers,NN2
employment,NN1
department,NN1
alcohol,NN1
in,PRP
the,AT0
workplace,NN1
why,AVQ
you,PNP
need,VVB
a,AT0
policy,NN1
to,TO0
deal,VVI
with,PRP
it,PNP
introduction,NN1
no,AT0
one,PNI
knows,VVZ
for,PRP
certain,AJ0
how,AVQ
much,DT0
the,AT0
misuse,NN1
of,PRF
alcohol,NN1
costs,VVZ
society,NN1
but,CJC
it,PNP
a,AT0
great,AJ0
deal,NN1
estimate,NN1
puts,VVZ
the,AT0
cost,NN1
in,PRP
terms,NN2
of,PRF
sickness,NN1
absence,NN1
alone,AV0
at,PRP
over,AV0
a,AT0
year,NN1
the,AT0
effects,NN2
of,PRF
alcohol,NN1
misuse,NN1
spill,VVB
over,AVP
from,PRP
private,AJ0
life,NN1
into,PRP
the,AT0
workplace,NN1
causing,VVG
inefficiency,NN1
and,CJC
accidents,NN2
as,CJS
well,AV0
as,CJS
absenteeism,NN1
this,DT0
booklet,NN1
gives,VVZ
you,PNP
guidance,NN1
on,PRP
how,AVQ
to,TO0
deal,VVI
with,PRP
the,AT0
problem,NN1
in,PRP
the,AT0
workplace,NN1
if,CJS
you,PNP
tackle,VVB
it,PNP
along,PRP-AVP
the,AT0
lines,NN2
suggested,VVN-VVD
in,PRP
this,DT0
booklet,NN1
you,PNP
will,VM0
have,VHI
taken,VVN
a,AT0
step,NN1
towards,PRP
reducing,VVG
the,AT0
appalling,AJ0
costs,NN2-VVZ
the,AT0
problem,NN1
imposes,VVZ
on,PRP-AVP
all,DT0
of,PRF
us,PNP
you,PNP
may,VM0
not,XX0
think,VVI
that,CJT
you,PNP
have,VHB
a,AT0
problem,NN1
but,CJC
in,PRP
a,AT0
company,NN1
of,PRF
even,AV0
modest,AJ0
size,NN1
it,PNP
is,VBZ
statistically,AV0
likely,AJ0
that,CJT
some,DT0
employees,NN2
will,VM0
have,VHI
a,AT0
drink,NN1
problem,NN1
whether,CJS
or,CJC
not,XX0
you,PNP
do,VDB
have,VHI
a,AT0
problem,NN1
you,PNP
need,VVB
a,AT0
policy,NN1
if,CJS
