the,AT0
flight,NN1
from,PRP
mind,NN1
howard,NP0
robinson,NP0
there,EX0
is,VBZ
an,AT0
account,NN1
of,PRF
the,AT0
problem,NN1
which,DTQ
could,VM0
with,PRP
some,DT0
oversimplification,NN1
be,VBI
described,VVN
as,PRP
the,AT0
currently,AV0
fashionable,AJ0
one,PNI
according,VVG
to,PRP
this,DT0
account,NN1
the,AT0
distinction,NN1
as,CJS
we,PNP
know,VVB
it,PNP
was,VBD
invented,VVN
by,PRP
descartes,NP0
he,PNP
it,PNP
was,VBD
who,PNQ
conceived,VVD
the,AT0
idea,NN1
of,PRF
identifying,VVG-AJ0
mind,NN1
with,PRP
consciousness,NN1
and,CJC
of,PRF
claiming,VVG
that,CJT
consciousness,NN1
and,CJC
its,DPS
contents,NN2
are,VBB
radically,AV0
different,AJ0
sods,NN2
of,PRF
things,NN2
from,PRP
bodies,NN2
and,CJC
their,DPS
properties,NN2
the,AT0
mind,NN1
is,VBZ
a,AT0
sort,NN1
of,PRF
arena,NN1
in,PRP
which,DTQ
private,AJ0
objects,NN2
are,VBB
viewed,VVN
all,DT0
our,DPS
experience,NN1
is,VBZ
ultimately,AV0
confined,VVN
to,PRP
this,DT0
arena,NN1
descartes,NN2
so,CJS
the,AT0
story,NN1
goes,VVZ
reached,VVD
this,DT0
conception,NN1
because,CJS
unlike,PRP
his,DPS
predecessors,NN2
the,AT0
aristotelians,NN2
he,PNP
was,VBD
obsessed,AJ0-VVN
by,PRP
epistemological,AJ0
questions,NN2
that,DT0
is,VBZ
questions,NN2
about,PRP
what,DTQ
we,PNP
can,VM0
know,VVI
and,CJC
how,AVQ
we,PNP
can,VM0
know,VVI
it,PNP
he,PNP
thought,VVD
that,CJT
the,AT0
only,AJ0
things,NN2
of,PRF
which,DTQ
we,PNP
could,VM0
be,VBI
really,AV0
certain,AJ0
were,VBD
things,NN2
of,PRF
which,DTQ
we,PNP
were,VBD
directly,AV0
aware,AJ0
that,DT0
is,VBZ
things,NN2
in,PRP
our,DPS
own,DT0
minds,NN2
the,AT0
empiricists,NN2
although,CJS
they,PNP
may,VM0
not,XX0
have,VHI
taken,VVN
up,PRP-AVP
descartes,NP0
idea,NN1
that,CJT
the,AT0
mind,NN1
is,VBZ
an,AT0
immaterial,AJ0
substance,NN1
followed,VVD
him,PNP
in,PRP-AVP
treating,VVG
the,AT0
contents,NN2
of,PRF
mind,NN1
as,CJS
objects,VVZ-NN2
private,AJ0
and,CJC
internal,AJ0
to,PRP
the,AT0
individual,NN1-AJ0
and,CJC
different,AJ0
from,PRP
physical,AJ0
objects,NN2
this,DT0
conception,NN1
of,PRF
the,AT0
mind,NN1
is,VBZ
now,AV0
almost,AV0
universally,AV0
regarded,VVN
as,CJS
disastrously,AV0
wrong,AJ0
for,PRP
reasons,NN2
first,ORD
because,CJS
it,PNP
creates,VVZ
a,AT0
dualism,NN1
of,PRF
mind,NN1
and,CJC
body,NN1
and,CJC
second,NN1
because,CJS
it,PNP
is,VBZ
held,VVN
to,TO0
create,VVI
insuperable,AJ0
sceptical,AJ0
problems,NN2
the,AT0
dualism,NN1
is,VBZ
deemed,VVN
disastrous,AJ0
because,CJS
it,PNP
prevents,VVZ
us,PNP
from,PRP
having,VHG
a,AT0
unified,AJ0
conception,NN1
of,PRF
the,AT0
world,NN1
built,VVN-VVD
around,PRP-AVP
the,AT0
natural,AJ0
sciences,NN2
and,CJC
because,CJS
it,PNP
leaves,VVZ
the,AT0
relationship,NN1
between,PRP
the,AT0
mental,AJ0
and,CJC
the,AT0
physical,AJ0
an,AT0
insoluble,AJ0
mystery,NN1
the,AT0
scepticism,NN1
follows,VVZ
because,CJS
if,CJS
we,PNP
are,VBB
confined,VVN
in,PRP
experience,NN1
to,PRP
the,AT0
