why,AVQ
me,NN1
leena,NP0-NN1
dhingra,NP0
i,PNP
could,VM0
possibly,AV0
do,VDI
that,DT0
and,CJC
why,AVQ
me,PNP
anyway,AV0
i,PNP
would,VM0
know,VVI
where,AVQ
to,TO0
start,VVI
well,AV0
yes,ITJ
i,PNP
suppose,VVB
i,PNP
could,VM0
give,VVI
it,PNP
a,AT0
try,NN1
but,CJC
i,PNP
do,VDB
want,VVI
to,TO0
promise,VVI
anything,PNI
it,PNP
just,AV0
that,DT0-CJT
well,AV0
i,PNP
need,VVB
to,TO0
feel,VVI
touched,VVN
by,PRP
a,AT0
topic,NN1
connected,VVN-AJ0
i,PNP
put,VVB
the,AT0
phone,NN1
down,AVP
with,PRP
a,AT0
frown,NN1
grabbed,VVD
my,DPS
books,NN2
bag,NN1
and,CJC
coat,NN1-VVB
raced,VVD
through,PRP
the,AT0
door,NN1
and,CJC
down,PRP
the,AT0
street,NN1
and,CJC
reached,VVD
the,AT0
bus,NN1
stop,NN1
breathless,AJ0
i,PNP
looked,VVD
at,PRP
my,DPS
watch,NN1
automatically,AV0
and,CJC
then,AV0
again,AV0
more,AV0
carefully,AV0
could,VM0
it,PNP
have,VHI
stopped,VVN
the,AT0
second,ORD
hand,NN1
was,VBD
going,VVG
round,AVP
but,CJC
i,PNP
asked,VVD
someone,PNI
who,PNQ
smiled,VVD
at,PRP
my,DPS
look,NN1
of,PRF
incredulity,NN1
i,PNP
had,VHD
arrived,VVN
at,PRP
the,AT0
bus,NN1
stop,NN1
hours,NN2
early,AV0-AJ0
i,PNP
carried,VVD
my,DPS
bewilderment,NN1
into,PRP
the,AT0
coffee,NN1
shop,NN1
and,CJC
tried,VVD
to,TO0
drown,VVI
it,PNP
along,AVP
with,PRP
the,AT0
froth,NN1
of,PRF
my,DPS
cappuccino,NN1
why,AVQ
did,VDD
i,PNP
rush,VVI
out,AVP
like,PRP
that,DT0
i,PNP
was,VBD
still,AV0
frowning,VVG
and,CJC
my,DPS
throat,NN1
felt,VVD
constricted,AJ0-VVN
i,PNP
had,VHD
literally,AV0
run,VVN
away,AV0
from,PRP
englishness,NP0-NN1
well,AV0
i,PNP
just,AV0
wo,VM0
do,VDI
it,PNP
i,PNP
ring,VVI
up,AVP
and,CJC
say,VVI
that,CJT
it,PNP
not,XX0
for,PRP
me,PNP
i,PNP
started,VVD
to,TO0
sip,VVI
my,DPS
coffee,NN1
in,PRP
any,DT0
case,NN1
i,PNP
do,VDB
have,VHI
to,TO0
do,VDI
it,PNP
if,CJS
i,PNP
do,VDB
want,VVI
to,TO0
who,PNQ
are,VBB
you,PNP
trying,VVG
to,TO0
fool,VVI
ha,ITJ
i,PNP
asked,VVD
myself,PNX
and,CJC
returned,VVN-VVD
to,PRP
folding,VVG
the,AT0
froth,NN1
into,PRP
the,AT0
coffee,NN1
what,DTQ
was,VBD
it,PNP
you,PNP
said,VVD
on,PRP
