win,VVB
with,PRP
wilson,NP0
federation,NN1
cup,NN1
a,ZZ0
royal,AJ0
occasion,NN1
supporters,NN2
of,PRF
british,AJ0
tennis,NN1
midland,NP0
the,AT0
listening,AJ0
bank,NN1
contents,NN2
main,AJ0
point,NN1
final,AJ0
countdown,NN1
by,PRP
alastair,NP0
mciver,NP0
speaking,VVG
my,DPS
mind,NN1
david,NP0
around,PRP
the,AT0
world,NN1
what,DTQ
price,NN1
the,AT0
future,NN1
by,PRP
john,NP0
parsons,NP0
daily,AJ0
telegraph,NN1
tournaments,NN2
stella,NP0
artois,NP0
grass,NN1
court,NN1
championships,NN2
alastair,NP0
mciver,NP0
at,PRP
queen,NP0-NN1
direct,AJ0
line,NN1
grass,NN1
court,NN1
championships,NN2
barry,NP0
wood,NP0
reports,VVZ
from,PRP
beckenham,NP0
pilkington,NP0
glass,NP0-NN1
ladies,NN2
championships,NN2
alastair,NP0
mciver,NP0
reports,VVZ
from,PRP
eastbourne,NP0
on,PRP
a,AT0
10th,ORD
title,NN1
for,PRP
navratilova,NP0
french,AJ0
open,AJ0
peter,NP0
blackman,NP0
evening,NN1
standard,NN1
sees,VVZ
courier,NP0-NN1
and,CJC
seles,NP0
triumph,NN1-VVB
in,PRP
paris,NP0
midland,NP0
bank,NN1-NP0
students,NN2
tennis,NN1
sue,NP0
mccarthy,NP0
reports,VVZ
from,PRP
bristol,NP0
features,NN2
insight,NN1
the,AT0
world,NN1
best,AJS
coaches,NN2
on,PRP
the,AT0
game,NN1
greatest,AJS
players,NN2
this,DT0
month,NN1
pancho,NP0
segura,NP0
on,PRP
jimmy,NP0
connors,NP0
by,PRP
lailee,NP0
van,NP0
dillen,NP0
file,VVB-NN1
america,NP0
jim,NP0
martz,NP0
miami,NP0
herald,NN1
looks,VVZ
at,PRP
the,AT0
florida,NP0
coaching,NN1-VVG
academies,NN2
coaching,VVG-NN1
commentary,NN1
olga,NP0
morozova,NP0
on,PRP
the,AT0
importance,NN1
of,PRF
fitness,NN1
new,AJ0
tennis,NN1-NP0
workshop,NN1
alan,NP0
jones,NP0
with,PRP
barry,NP0
wood,NP0
competitions,NN2
win,VVB
with,PRP
wilson,NP0
spot,VVB
the,AT0
ball,NN1
win,VVB
head,AJ0-NN1
rackets,NN2
win,VVB
ellesse,NP0
limited,AJ0
edition,NN1
framed,AJ0-VVD
print,NN1
plus,NN1
readers,NN2
letters,NN2
positively,AV0
pilkington,NP0
junior,AJ0
tennis,NN1
world,NN1
junior,AJ0
set,NN1
by,PRP
lotto,NP0-NN1
rankings,NN2
results,NN2
off,PRP
court,NN1
final,AJ0
countdown,NN1
royalty,NN1
read,VVB
and,CJC
the,AT0
radio,NN1
roadshow,NN1
by,PRP
alastair,NP0
mciver,NP0
fed,VVN
cup,NN1
fever,NN1
will,VM0
hit,VVI
nottingham,NP0
during,PRP
the,AT0
week,NN1
of,PRF
21st,ORD
july,NP0
when,AVQ
hrh,NN1
the,AT0
princess,NN1
of,PRF
wales,NP0
attends,VVZ
the,AT0
opening,NN1-AJ0
ceremony,NN1
for,PRP
the,AT0
28th,ORD
staging,NN1
of,PRF
this,DT0
great,AJ0
women,NN2
event,NN1
apart,AV0
from,PRP
the,AT0
large,AJ0
numbers,NN2
of,PRF
tennis,NN1
fans,NN2
expected,VVN-VVD
on,PRP
day,NN1
of,PRF
the,AT0
federation,NN1
cup,NN1
more,AV0
around,PRP-AVP
the,AT0
country,NN1
will,VM0
be,VBI
witness,NN1
to,PRP
the,AT0
day,NN1
proceedings,NN2
courtesy,NN1
of,PRF
the,AT0
bbc,NP0
radio,NN1
roadshow,NN1
d,NP0
j,NP0
mike,NP0
read,VVD
and,CJC
guest,NN1
cliff,NP0-NN1
richard,NP0
will,VM0
be,VBI
on,PRP
hand,NN1
to,TO0
capture,VVI
the,AT0
excitement,NN1
of,PRF
the,AT0
first,ORD
day,NN1
and,CJC
hopefully,AV0
set,VVB
the,AT0
mood,NN1
for,PRP
a,AT0
week,NN1
of,PRF
high,AJ0
quality,NN1
tennis,NN1
and,CJC
not,XX0
a,AT0
little,AJ0
fun,NN1
the,AT0
festival,NN1
court,NN1
has,VHZ
a,AT0
different,AJ0
activity,NN1
taking,VVG
place,NN1
each,DT0
day,NN1
while,CJS
the,AT0
centre,NN1
and,CJC
surrounding,AJ0
competition,NN1
courts,NN2
will,VM0
see,VVI
the,AT0
best,AJS
women,NN2
players,NN2
from,PRP
nations,NN2
competing,VVG
for,PRP
what,DTQ
is,VBZ
the,AT0
premier,AJ0-NN1
team,NN1
prize,NN1
in,PRP
women,NN2
tennis,NN1
as,CJS
well,AV0
as,CJS
world,NN1
monica,NP0
seles,NP0
fans,NN2
will,VM0
have,VHI
the,AT0
opportunity,NN1
to,TO0
see,VVI
the,AT0
top,AJ0-NN1
players,NN2
including,PRP
steffi,NP0
graf,NP0-NN1
zina,NP0
garrison,NP0-NN1
jennifer,NP0
capriati,NP0
not,XX0
to,TO0
mention,VVI
the,AT0
british,AJ0
contingent,NN1
of,PRF
jo,NP0
durie,NP0
monique,NP0
javer,NP0-NN1
clare,NP0
wood,NP0
and,CJC
sam,NP0
smith,NP0
from,PRP
seles,NP0
down,AVP
the,AT0
list,NN1
of,PRF
competitors,NN2
reads,VVZ
like,PRP
a,AT0
who,PNQ
who,PNQ
of,PRF
international,AJ0
tennis,NN1
players,NN2
the,AT0
telephone,NN1
hotline,NN1
for,PRP
remaining,AJ0-VVG
tickets,NN2
is,VBZ
if,CJS
you,PNP
have,VHB
got,VVN
your,DPS
ticket,NN1
to,PRP
the,AT0
federation,NN1
cup,NN1
by,PRP
nec,NP0
presented,VVN
by,PRP
midland,NP0
bank,NP0-NN1
then,AV0
call,VVB
now,AV0
nottingham,NP0
beckons,VVZ
countdown,NN1
ah,ITJ
yes,ITJ
i,PNP
remember,VVB
it,PNP
well,AV0
things,NN2
you,PNP
did,VDD
know,VVI
about,PRP
the,AT0
federation,NN1
cup,NN1
billie,NP0
jean,NP0
king,NP0-NN1
played,VVD
in,PRP
the,AT0
first,ORD
federation,NN1
cup,NN1
finals,NN2
representing,VVG
the,AT0
united,NP0
states,NP0
she,PNP
played,VVD
between,PRP
and,CJC
martina,NP0-NN1
navratilova,NP0
is,VBZ
the,AT0
only,AJ0
player,NN1
to,PRP
date,NN1
to,TO0
have,VHI
represented,VVN
countries,NN2
in,PRP
federation,NN1
cup,NN1
competition,NN1
she,PNP
played,VVD
for,PRP
her,DPS
native,AJ0
czechoslovakia,NP0
in,PRP
defeat,NN1
of,PRF
austria,NP0
in,PRP
and,CJC
then,AV0
played,VVN-VVD
for,PRP
the,AT0
united,NP0
states,NP0
in,PRP
and,CJC
prior,AJ0
to,PRP
the,AT0
establishment,NN1
of,PRF
the,AT0
federation,NN1
cup,NN1
by,PRP
the,AT0
iltf,NP0-NN1
now,AV0
the,AT0
itf,NN1-NP0
in,PRP
the,AT0
former,DT0
us,NP0
player,NN1
margaret,NP0
du,UNC
pont,NP0
together,AV0
with,PRP
former,DT0
australian,AJ0
pro,NN1
thelma,NP0
coyne,NP0
long,AJ0-AV0
and,CJC
supported,VVN
by,PRP
the,AT0
usta,NN1-NP0
had,VHD
drawn,VVN
up,AVP-PRP
plans,NN2
for,PRP
their,DPS
own,DT0
women,NN2
international,AJ0
team,NN1
competition,NN1
and,CJC
had,VHD
even,AV0
offered,VVN
to,TO0
donate,VVI
a,AT0
cup,NN1
for,PRP
the,AT0
event,NN1
it,PNP
was,VBD
all,AV0
too,AV0
late,AJ0
for,PRP
the,AT0
iltf,NN1-NP0
however,AV0
which,DTQ
in,PRP
announced,VVD
that,CJT
the,AT0
first,ORD
federation,NN1
cup,NN1
would,VM0
take,VVI
place,NN1
at,PRP
queen,NP0-NN1
club,NN1
in,PRP
june,NP0
in,PRP
the,AT0
federation,NN1
cup,NN1
was,VBD
contested,VVN
at,PRP
eastbourne,NP0
and,CJC
replaced,VVD
the,AT0
traditional,AJ0
ladies,NN2
grass,NN1-VVB
court,NN1
tournament,NN1
that,DT0
year,NN1
brazil,NP0
was,VBD
the,AT0
first,ORD
south,NP0
american,AJ0
country,NN1
to,TO0
host,VVI
the,AT0
federation,NN1
cup,NN1
in,PRP
some,DT0
years,NN2
after,CJS
the,AT0
event,NN1
was,VBD
founded,VVN
the,AT0
federation,NN1
cup,NN1
itself,PNX
was,VBD
purchased,VVN
in,PRP
for,PRP
and,CJC
it,PNP
is,VBZ
inscribed,VVN
in,PRP
languages,NN2
english,AJ0-NN1
and,CJC
french,NN1-AJ0
prizemoney,NN1-NP0
was,VBD
awarded,VVN
for,PRP
the,AT0
first,ORD
time,NN1
to,PRP
competing,AJ0-VVG
teams,NN2
in,PRP
colgate,VVB
palmolive,NP0-NN1
sponsored,VVD
the,AT0
event,NN1
prizemoney,NN1
to,PRP
the,AT0
tune,NN1
of,PRF
virginia,NP0
wade,NP0
has,VHZ
the,AT0
best,AJS
record,NN1
of,PRF
any,DT0
player,NN1
in,PRP
federation,NN1
cup,NN1
competition,NN1
either,AV0
british,AJ0
or,CJC
foreign,AJ0
she,PNP
represented,VVD
great,NP0
britain,NP0
for,PRP
consecutive,AJ0
years,NN2
between,PRP
and,CJC
she,PNP
won,VVD
of,PRF
her,DPS
singles,NN2
and,CJC
doubles,VVZ-NN2
matches,NN2-VVZ
this,DT0
year,NN1
total,NN1
of,PRF
participating,AJ0
nations,NN2
is,VBZ
a,AT0
record,NN1
for,PRP
the,AT0
federation,NN1
cup,NN1
it,PNP
beats,VVZ
last,ORD
year,NN1
record,NN1
of,PRF
in,PRP
atlanta,NP0
by,PRP
when,CJS
this,DT0
year,NN1
competition,NN1
in,PRP
nottingham,NP0
is,VBZ
completed,VVN
great,NP0
britain,NP0
like,PRP
japan,NP0
will,VM0
have,VHI
hosted,VVN
it,PNP
on,PRP
occasions,NN2
the,AT0
united,NP0
states,NP0
and,CJC
australia,NP0
have,VHB
both,AV0
hosted,VVN
it,PNP
times,NN2
each,DT0
while,CJS
a,AT0
total,NN1
of,PRF
other,AJ0
countries,NN2
have,VHB
hosted,VVN
the,AT0
federation,NN1
cup,NN1
either,AV0
once,AV0
or,CJC
twice,AV0
how,AVQ
to,TO0
get,VVI
there,AV0
nottingham,NP0
is,VBZ
easily,AV0
accessible,AJ0
by,PRP
road,NN1
rail,NN1
and,CJC
air,NN1
weekday,NN1
departures,NN2
every,AT0
hour,NN1
from,PRP
st,NP0
pancras,NP0
journey,NN1-VVB
time,NN1
about,AV0
minutes,NN2
phone,NN1-VVB
or,CJC
contact,VVB
your,DPS
local,AJ0
station,NN1
for,PRP
details,NN2
the,AT0
city,NN1
of,PRF
nottingham,NP0
tennis,NN1-NP0
centre,NN1
is,VBZ
