an,AT0
argus,NP0
specialist,NN1
publication,NN1
august,NP0
founded,VVN
in,PRP
carving,VVG-AJ0
special,AJ0
edward,NP0
hopkins,NP0
gothic,AJ0
revival,NN1
carving,VVG-NN1
plans,NN2-VVZ
carving,VVG-NN1
productions,NN2
carving,VVG
people,NN0
national,AJ0
marquetry,NN1
exhibition,NN1
reviewed,VVN-VVD
contents,NN2
august,NP0
woodworker,NP0-NN1
features,NN2
electric,AJ0
carving,NN1
test,NN1-VVB
of,PRF
power,NN1
carving,NN1-VVG
systems,NN2
mastering,VVG
marquetry,NN1
review,NN1-VVB
of,PRF
the,AT0
national,AJ0
marquetry,NN1
exhibition,NN1
nick,NP0
gibbs,NP0
carving,NN1-VVG
through,PRP
the,AT0
confusion,NN1
market,NN1-VVB
review,NN1
of,PRF
carving,VVG-NN1
tools,NN2
nick,NP0
bell,NP0
testing,VVG
the,AT0
cogelow,NN1
angles,NN2
ray,NP0
gonzalez,NP0
tests,VVZ
the,AT0
new,AJ0
henry,NP0
taylor,NP0
tools,NN2
workshop,NN1
creations,NN2
results,NN2
of,PRF
our,DPS
workshop,NN1
carving,NN1-VVG
competition,NN1
board,NN1-VVB
games,NN2
the,AT0
craft,NN1
of,PRF
cabinetmaking,NP0
continued,VVD
david,NP0
savage,NP0
carving,NN1-VVG
out,AVP
of,PRF
his,DPS
shell,NN1
profile,NN1
of,PRF
carver,NN1
david,NP0
morgan,NP0
bertie,NP0
somme,NP0
gibbons,NP0
blazing,AJ0
glories,NN2
hampton,NP0
court,NN1
palace,NN1
restored,VVD-VVN
trevor,NP0
barnes,NP0
projects,NN2
prize,NN1
tribute,NN1
lee,NP0
dickenson,NP0
carved,AJ0
chindit,NN1
guidelines,NN2
in,PRP
wood,NN1
more,DT0
marquetry,NN1
advice,NN1
gerald,NP0
james,NP0
dimensions,NN2
of,PRF
chair,NN1
design,NN1
the,AT0
opening,NN1-AJ0
part,NN1
of,PRF
steve,NP0
goulden,NP0
series,NN0
on,PRP
chair,NN1
construction,NN1
gothic,AJ0
traces,NN2
a,AT0
project,NN1
for,PRP
the,AT0
church,NN1
edward,NP0
hopkins,NP0
sun,NN1
seeking,VVG
seats,NN2
building,VVG
a,AT0
seat,NN1
around,PRP-AVP
a,AT0
tree,NN1
dan,NP0
solman,NP0-NN1
regulars,NN2
face,NN1-VVB
and,CJC
edge,NN1
news,NN1
and,CJC
new,AJ0
products,NN2
letters,NN2
correspondence,NN1
comment,NN1-VVB
and,CJC
competitions,NN2
turning,VVG
the,AT0
page,NN1
regular,AJ0
feature,NN1
for,PRP
turners,NN2
bob,NN0
wearing,VVG
workshop,NN1
making,VVG
perspex,NN1-NP0
squares,NN2
question,NN1-VVB
