arranging,VVG
a,AT0
funeral,NN1
december,NP0
this,DT0
factsheet,NN1
is,VBZ
designed,VVN
to,TO0
help,VVI
those,DT0
people,NN0
who,PNQ
have,VHB
to,TO0
organise,VVI
someone,PNI
funeral,NN1
those,DT0
people,NN0
who,PNQ
want,VVB
to,TO0
plan,VVI
ahead,AV0
for,PRP
their,DPS
own,DT0
funeral,NN1
contents,NN2
what,DTQ
happens,VVZ
when,CJS
someone,PNI
dies,VVZ
a,ZZ0
death,NN1
at,PRP
home,NN1
b,ZZ0
death,NN1
in,PRP
hospital,NN1
c,ZZ0
sudden,AJ0
death,NN1
d,ZZ0
procedure,NN1
at,PRP
the,AT0
registar,NP0-NN1
office,NN1
arranging,VVG
a,AT0
funeral,NN1
a,ZZ0
the,AT0
funeral,NN1
director,NN1
b,ZZ0
burial,NN1
c,ZZ0
cremation,NN1
d,ZZ0
the,AT0
service,NN1
arranging,VVG
a,AT0
funeral,NN1
without,PRP
the,AT0
help,NN1
of,PRF
a,AT0
funeral,NN1
director,NN1
financial,AJ0
help,NN1-VVB
from,PRP
the,AT0
social,AJ0
fund,NN1
the,AT0
duty,NN1
of,PRF
local,AJ0
and,CJC
health,NN1
authorities,NN2
to,TO0
pay,VVI
for,PRP
certain,AJ0
funerals,NN2
a,ZZ0
duty,NN1
of,PRF
local,NN1-AJ0
authorities,NN2
b,ZZ0
duty,NN1
of,PRF
a,AT0
health,NN1
authority,NN1
planning,NN1-VVG
and,CJC
paying,VVG
for,PRP
a,AT0
funeral,NN1
in,PRP
advance,NN1
a,ZZ0
planning,NN1-VVG
b,ZZ0
cost,VVB-NN1
c,ZZ0
planning,NN1-VVG
cost,NN1-VVB
bequeathing,VVG
a,AT0
body,NN1
for,PRP
research,NN1
donating,VVG
organs,NN2
for,PRP
transplantation,NN1
important,AJ0
organisations,NN2
useful,AJ0
publications,NN2
as,CJS
scottish,AJ0
law,NN1
differs,VVZ
from,PRP
english,AJ0
law,NN1
scottish,AJ0
readers,NN2
should,VM0
contact,VVI
age,NN1
concern,NN1-VVB
scotland,NP0
at,PRP
54a,UNC
fountainbridge,NP0
edinburgh,NP0
eh3,UNC
9pt,UNC
for,PRP
a,AT0
copy,NN1
of,PRF
their,DPS
factsheet,NN1
available,AJ0
free,AJ0
on,PRP
receipt,NN1
of,PRF
a,AT0
sae,NN1
what,DTQ
happens,VVZ
when,CJS
someone,PNI
dies,VVZ
even,AV0
if,CJS
the,AT0
person,NN1
or,CJC
family,NN1
have,VHB
had,VHN
little,DT0
contact,NN1
with,PRP
a,AT0
religious,AJ0
organisation,NN1
a,AT0
minister,NN1
may,VM0
be,VBI
willing,AJ0
to,TO0
visit,VVI
while,CJS
the,AT0
person,NN1
is,VBZ
dying,VVG-AJ0
what,DTQ
follows,VVZ
is,VBZ
a,AT0
short,AJ0
account,NN1
of,PRF
the,AT0
legal,AJ0
procedure,NN1
a,ZZ0
death,NN1
at,PRP
home,NN1
if,CJS
the,AT0
person,NN1
dies,VVZ
at,PRP
home,NN1
the,AT0
family,NN1
doctor,NN1
and,CJC
nearest,AJS
relative,NN1
should,VM0
be,VBI
informed,VVN
the,AT0
family,NN1
doctor,NN1
who,PNQ
has,VHZ
attended,VVN
the,AT0
person,NN1
must,VM0
complete,VVI
a,AT0
certificate,NN1
giving,VVG
the,AT0
cause,NN1
of,PRF
death,NN1
this,DT0
is,VBZ
issued,VVN
free,AJ0
if,CJS
the,AT0
body,NN1
is,VBZ
to,TO0
be,VBI
cremated,VVN
doctors,NN2
must,VM0
sign,VVI
a,AT0
certificate,NN1
but,CJC
the,AT0
first,ORD
doctor,NN1
will,VM0
instruct,VVI
the,AT0
second,ORD
doctor,NN1
who,PNQ
can,VM0
see,VVI
the,AT0
body,NN1
in,PRP
the,AT0
chapel,NN1
of,PRF
rest,NN1
or,CJC
at,PRP
the,AT0
mortuary,NN1
the,AT0
doctor,NN1
certificate,NN1
must,VM0
be,VBI
taken,VVN
to,PRP
the,AT0
registrar,NN1
of,PRF
births,NN2
and,CJC
deaths,NN2
in,PRP
the,AT0
registration,NN1
where,CJS
the,AT0
death,NN1
occurred,VVD
normally,AV0
within,PRP
days,NN2
the,AT0
doctor,NN1
may,VM0
provide,VVI
a,AT0
leaflet,NN1
explaining,VVG
how,AVQ
to,TO0
register,VVI
the,AT0
death,NN1
and,CJC
should,VM0
be,VBI
able,AJ0
to,TO0
advise,VVI
where,AVQ
to,TO0
do,VDI
so,AV0
otherwise,AV0
funeral,NN1-AJ0
directors,NN2
keep,VVB
detailed,AJ0
lists,NN2
or,CJC
offices,NN2
are,VBB
listed,VVN
in,PRP
the,AT0
phone,NN1
book,NN1
or,CJC
the,AT0
citizens,NN2
advice,NN1
bureau,NN1
can,VM0
advise,VVI
a,AT0
check,NN1
should,VM0
be,VBI
made,VVN
that,CJT
it,PNP
is,VBZ
the,AT0
correct,AJ0
registration,NN1
office,NN1
and,CJC
for,PRP
opening,VVG-AJ0
times,NN2
sometimes,AV0
a,AT0
doctor,NN1
will,VM0
send,VVI
the,AT0
certificate,NN1
direct,AJ0-AV0
